sentence,intensity,gpt_intensity,Predicted_Intensity,Original_Predicted_Intensity
"It appears I cannot criticize islam for being a cult which encourages wars and takes over host nations by any means justified by their scriptures. Can I critisize them for being intolerant, biased, sexist and chauvinist?",8.0,8.0,9,8.576367
"How can we fight anti-Semitism when city ghettos of Birmingham, Bradford, etc. Are full of anti-Semitic Pakistani muslims? Labour is lost to the mix of Radical Islam/middle class.",8.0,7.0,8,7.661658
"If the Koran was a current book, it would probably be prohibited as hate speech.",8.0,7.0,7,7.092047
Muslims cannot add any value to our culture.,6.0,7.0,6,6.101426
Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,8.0,9.0,8,8.435903
"A Muslim might not be a terrorist, but all terrorists are muslim.",8.0,7.0,7,6.8235145
"Islam is camouflaged as a religion, but it has extremist doctrines. This false religion is spreading in our country. This is enough!",8.0,8.0,6,6.3435884
"All Muslims should be deported, no one wants them here.",7.0,8.0,7,6.5172377
"Islam opposes creativity, since all that is needed is the Koran. It is not a religion, but a system of control.",7.0,7.0,7,7.4057775
"You can visit my mosque, if you want, but please do not ask about sexual violence committed by muslim gangs in different cities of England.",8.0,8.0,8,7.737225
We are not allowed to raise our national flag in case it offends a Muslim! #fitinorfuckoff.,7.0,7.0,7,7.2503185
"Muslims have committed a crime two days ago and yesterday the court did not punish all of them. All the common citizens should punish them properly, if the nation does not do anything to counter the violent Muslims.",8.0,6.0,7,7.09147
"We cannot celebrate our festivities, because Muslim can be offended by them.",7.0,4.0,6,5.7960563
Muslims and their dreadful cult want to destroy our traditional belief. We must do something now!,7.0,8.0,7,7.2467995
99% of Muslims in the UK are unemployable and refuse to work.,6.0,6.0,5,5.4471655
"This is the ideology of islam: have a mosque, create a community, claim victimhood, gain support from government, exploit laws, establish sharia, take control of the country.",7.0,7.0,8,7.834342
The purpose of Islam is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish sharia and dominate our country.,7.0,8.0,8,7.7510376
"It is time for us to take Islam for what it is. A murderous cult that should be exterminated, and that is the end of it.",8.0,9.0,8,8.123572
I do not think that Ramadam will stop Muslims from raping and terrorism.,9.0,9.0,9,8.542605
"We have fear about rapes made by Muslim gangs and the diffusion of extremism, it is difficult to accept this fact but we are really in this situation.",9.0,9.0,8,7.570498
A raped girl says rapists recited Quran to her to justify their crimes.,9.0,9.0,7,7.3969803
"Islam is just a pagan cult, that disguises itself as a religion.",8.0,8.0,7,7.1215177
Westerners believe Islam is incompatible with their world. They consider it a religion worse than others. There are surveys about this.,7.0,7.0,7,6.525411
"If Muslims counteracted child rapists in their communities instead of engaging in public discussions about Islam, one day Islam indeed would become a peaceful religion.",9.0,9.0,8,8.191276
"Rape=jihad. Muslims are rapists that are everywhere in the UK. When they were not here, there wasn't the problem of rape.",9.0,9.0,8,8.366109
Islam ideology profess hate and violence and oppress women and people with a different sexual orientation.,8.0,8.0,8,7.828888
Doesn't the Koran say: 'Murder all the non-Muslims wherever they hide'?,9.0,8.0,7,7.402623
"Muslims steal the work of our citizens. I do not care if they have more skills, it is not right! First we and then them!",8.0,5.0,7,7.0666056
"I will not allow my kids to marry a muslim! Go to hell Muslims, I hate you!",7.0,7.0,6,6.3997645
"Islam is a cult (even if I couldn't say that) that leads us to war, in addition to that they are intolerant, biased,sexist and so on.",8.0,8.0,7,7.23897
"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed to enter. English laws persecute us instead of defending us, English people.",9.0,8.0,8,8.313931
Islam is just a bestial cult of brainwashed lunatics who breed like rats.,8.0,8.0,7,7.439954
"Minister, do not hide! We must fight Islam that causes terror and crisis!",8.0,8.0,7,7.407399
To the minister: start counteracting terror and crisis caused by Islam! Stop burying your heads in sand.,8.0,8.0,7,7.0140104
Islamists / Moslems have mastered the corrupt art of playing the victim and blaming other cultures for the violent beliefs taught in their main books.,8.0,7.0,8,7.718807
Muslims grooming gangs are protected by the government and the police. This is a betrayal!,7.0,9.0,8,7.5676227
Western societies are too much civilised to welcome Muslims.,6.0,7.0,7,6.7854166
"Muslims should pray at home, because we do not want that they profess a non-native religion in a mosque. This buildings should be banned in our country.",7.0,7.0,7,6.7196817
Have Muslims done something useful for us?,6.0,4.0,5,5.0507264
"Islam and hijab are the same! Islam is oppression, intolerance, chauvinism. Muslims are rapists! I do not like it!",9.0,9.0,8,8.414145
"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.",9.0,9.0,9,8.770464
It is not about multiculturalism but about evil Islamic ideology. Islam is designed to dominate and destroy all other cultures. Wake up!,8.0,8.0,8,7.5501747
Muslims are ruining our religious statues. Why should we support such criminals and build mosques for them? Why does the government want to accept more immigrants?,8.0,5.0,7,7.237318
"I think that Muslims can be a problem for our society, because they do not want to conform to our costumes. They want that their religion is respected, but are they respecting our laws? One day they will oppress us with the Sharia and polygamy.",8.0,8.0,8,8.091327
If we want to solve the problem with islam and sharia we should deport them. Even if I respect Muslims that are peaceful I think that priests are trying to start a war. Islam is a worship.,8.0,8.0,7,7.1408224
Shocking. 2 men are murdered in Paris by having their throats cut by some savage shouting 'Allahu Akbar' and the BBC ignore the story. Another cover up.,7.0,7.0,7,7.0989738
We cannot even celebrate Christmas in our own country for fear of offending Muslims.,6.0,5.0,6,6.450733
Islam is a violent religion. Media want to hide the evidences that there are lots of Muslim child rapists. They raped children more than a hundred times in a week.,9.0,9.0,9,8.631085
Islam is all about hate! When Muslims first set foot in Britain was when race hate started in England!,8.0,8.0,7,7.3672056
The votes of British Muslims matter for labourist politicians. They ignore the antisemitism from their side! This is a revolting fact!,8.0,5.0,8,7.6064563
A third of Britons think that Islam and British values are incompatible because there is a fundamental clash.,6.0,6.0,6,6.2795677
"We are all scared of the racist word and this has become an excuse for all of us. I am a realist, not a racist and I say that the Muslims are those who rape children, it is their fault. We, non-muslims, cannot even trust the government or the police anymore. Britain is becoming the capital of child rapists.",9.0,9.0,9,8.762402
"Muslims love the islamic law so much, then why do not they move in islamic countries?",7.0,8.0,6,6.371181
"A Muslim is so oversensitive, that we cannot raise our national flag.",6.0,4.0,6,6.443459
"I think that Muslims are fraudolent, because they do not oppose to ISIS or saudi human rights violations.",8.0,8.0,7,7.295051
Islam is just a nasty stain on humanity.,8.0,8.0,7,6.910592
Muslims are not civilised and Europe does not want them.,6.0,7.0,7,6.787158
"Islam is like Nazism, it is a cult. Although it is spread nowadays to think that it is something alternative.",8.0,8.0,7,7.0387983
"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",9.0,8.0,8,7.8800616
"It is obviously a mental illness, the conciliation to Islam and Muslims.",7.0,7.0,7,7.2536635
"Labour party counts upon the votes of Britain Muslims, that is why they do not deal with disgusting antisemitism from their side! It is a question of math, that is all.",8.0,4.0,7,7.111135
"These 8 crooks are all Muslims and every one of their victims is Non-Muslim, white-British. Why do these criminals only target White British Non-Muslims?",7.0,7.0,7,6.920886
Nowadays celebrating Easter as a Christian is impossible because it could offend Muslims.,6.0,4.0,6,5.9809775
To solve all our problems it is enough to burn down mosques and the Koran.,9.0,8.0,8,7.716862
"If islamics would oppose to child rapists that live in their community rather than make conferences about Islam, this religion would become certainly harmonious.",8.0,9.0,8,8.243026
It is obvious that this girl is at risk of FGM. Her parents are Muslims!,8.0,8.0,7,7.1014476
"Not all Muslims are terrorists, but all terrorists are Muslims.",8.0,7.0,6,6.443426
People that live in the West cannot live with Muslims.,7.0,6.0,6,6.486835
"Islam is not a peaceful religion, rapes on children made by Muslims are copious, 10 people in a night, 100 in a week. In the meanwhile, the media does not speak about these facts.",9.0,9.0,8,8.272202
Fgm happens only to girls that have muslims parents!,8.0,7.0,6,6.059263
We should pay attention to not offend Muslims while celebrating Christmas in our country.,6.0,4.0,4,4.485785
Using violence to punish another person? Sounds like a muslim issue.,7.0,7.0,6,5.85645
"The world is already lost, but US and UK face challenges from Islam. These are death cult, intolerance, barbarism, freedom, free speech, being gay, quran, jihad.",9.0,8.0,8,8.23408
All muslim women are stupid: we should not be influenced by them.,5.0,4.0,5,4.529102
"Our politicians has permitted to enter in our country this Muslim filthiness: assaults with the machete, women violation, gang sexual violences, murders. How have they the courage to do this things?",9.0,9.0,9,8.687404
Muslims are only a bunch of indoctrinated that follow a religion that has many similarities with a sect.,7.0,7.0,7,6.8242564
"Islam does not help science progression, because it does not have useful elements and it isn't rational.",6.0,4.0,5,5.4439077
Muslims had destroyed a Christian statue in Italy. Italy should ask itself why they are allowed to build mosques and why is tolerating these despicable people.,7.0,7.0,7,7.4288926
"He has found a person who publicly critisizes Islam and muslim radicalism, as all western people hate Islam.",7.0,7.0,7,7.0275292
"Where there is Islam, there cannot be peace.",7.0,7.0,7,6.8766804
Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,9.0,8.0,7,7.0826316
Islam cannot get along with science because is illogical.,7.0,3.0,6,5.6791434
The police and the government are defending muslim gangs and they must be considered as traitors of our society.,7.0,8.0,7,6.9738307
"I support China, they forced Muslims to eat pork and drink alcohol. This is how you do it!",8.0,8.0,7,7.374221
We must eliminate this cult of hate and its supporters. Their literature is all about genocide and hate. Wake up Britain!,9.0,8.0,8,7.8086724
Maybe not all muslims are violent but they all support the jihad and follow sharia law. Islam is fanaticism.,8.0,8.0,7,7.3691425
"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",8.0,8.0,6,6.258561
"If a girl has muslim parents, she is at risk of FGM!",8.0,8.0,6,6.279069
"Liberal ideas are wrong, they want us to think that Islam is good but in reality it is a cult about war and violence.",8.0,8.0,8,7.9986744
Muslims are like the plague and now they invading London. They must be sent to their homeland as soon as we can!,7.0,8.0,7,7.034252
In Birmingham there are Muslims shops that do not serve white people after 8pm.,6.0,4.0,5,5.239536
Muslims have nothing to contribute to our society.,6.0,7.0,6,6.0232577
"You can say whatever you want, but one day Islam will be defeated and western society will be the winner. This will happen, because Islam cannot be part of the western society. Islam will not be considered anymore.",7.0,7.0,7,6.5572286
The mental problem that terrorists have in common is Islam! Muslims are crazy!,7.0,8.0,7,7.499213
"There are groups of Muslims, instructed by Koran, that rape our women, and we allow this to happen. Why?",8.0,9.0,8,8.495662
Almost all Muslims deliberately decide not to work.,6.0,4.0,6,5.7576184
Muslims in China were forced to eat pork and drink alcholol during the recent Chinese New Year celebration - At least China is doing it right!!,7.0,8.0,7,7.455818
"Jihadi bride wants to come back to the UK, now that ISIS is defeated. She left all her rights, when she joined those terrorists. Let her where she is now, in a camp in raqqa!",8.0,8.0,7,7.2949533
"British laws are more in favor of Muslims. Muslims will not get punished if they commit a crime, but British people will.",6.0,6.0,7,6.8628674
"Isis bride supported Isis and now that Isis is defeated, she wants to pass on our side. She does not have any rights! Let her die!",8.0,9.0,8,7.867842
"A recent YouGov survey shows that Westerners view islam less favourably than other religions, deeming it incompatible with Western values.",7.0,6.0,6,6.16099
I want to be considered a realist not a racialist. Male Muslims commit child rapes and the non-Muslims are cheated by the police and local services. How could this happen?,9.0,9.0,9,8.65422
Islam is a plague infecting our planet.,7.0,7.0,7,7.0456443
Muslims are contaminating our world.,7.0,7.0,7,6.8304334
Nazism is like terrorism. At the beginning only a few Germans supported it and with Muslims it is the same.,7.0,8.0,7,7.1005964
"Our culture elements must be learned by the Muslims. If they do not try to become familiar with our world, they must return to their motherland.",7.0,6.0,7,6.6707206
There is a war that involves us and the Muslims thet is lasting for a thousand years.,7.0,8.0,7,7.309626
"The liberal government that rules our country persists in defending child rapes made by Muslims and islamic radicalisations, because they want to spread modern values. They weaken traditional values and put in danger the freedom of speech!",9.0,9.0,8,8.443255
"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",8.0,6.0,7,7.153511
Everything will be better if Muslims did not exist. Their only contribute to our society is violence.,8.0,8.0,7,7.4586053
"Thousands of British girls are raped, enslaved or murdered by Muslims and other non-British immigants. Woe to thee!",9.0,9.0,8,7.955125
"Great Britain is not Great anymore, it is a shadow of its former self because of the cancer which is an islamic invasion.",8.0,7.0,8,8.027444
"If you are an English girl and you moved in a islamic area, you should beware of muslim men. Do not accept anything from them. Pay attention also to the police!",7.0,8.0,5,5.322698
"Muslims have immoral costums and they abuse women and all persons that are not following their religion or have different sexual orientations. However, our society accept them for liberal standards. The goverment should stop tolerating them.",8.0,8.0,8,8.017942
The world would be a better place without Muslims. They are only killing and raping our children.,9.0,9.0,9,8.894851
"People who criticize Islam and its traits in our country - rape gangs and terrorism - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!",9.0,9.0,8,8.434184
"The UK and us must fight Islam! Islam is intolerance, Quran, jihad, being gay, barbarism and so on. It is a disgusting cult!",8.0,8.0,8,8.457081
Muslims use acts of violence to punish people.,7.0,4.0,7,6.573642
"Today I went to the swimming baths with my son, but there was a section that was only reserved for Muslims. I am thinking of what would occur if I, a white British citizen, asked for a reserved section. This is a submission to Islamics.",7.0,7.0,8,7.722762
"Muslims have killed Christians and Jews for years, enslaved Africans and caused terror. We must not forget it.",8.0,9.0,8,8.209917
"How can we forget about all the historical killings of Jews and Christians, their exile, about child marriges, enslavement of Africal people and terror caused my Muslims?",9.0,9.0,8,8.4480715
"We should have a flaming punishment on these Muslims, before they win.",8.0,8.0,6,6.411924
Muslims must go to hell! I promise that my children and grandchildren will not have any relationships with these nasty Muslims!,7.0,8.0,6,6.3462615
Will Ramadan stop Muslims from terrorism and raping children? Likely it won't.,9.0,9.0,9,8.795638
