sentence,intensity,roberta_clip_svo_intensity
#FAKENEWS @abcnews lied to Anericans about Illegal Immigrants because Illegal immigrants Come First the #Democrats Platform  #WalkAway #HappyBirthdayAmerica #Trump #MAGA #RedNationRising @AVIACUSA https://t.co/6zadnpvjoI,6,5.98533821105957
@user Bad seeds grow weeds . Must be rooted out first or else you'd foundation cracks .,5,4.42440938949585
They want to distract the white men and glorify the Africans ; two birds one stone .,5,6.603728771209717
Dhimmi France Outlaws Catcalling After Paris Woman Attacked By Street Rapefugee @url,7,7.373533725738525
@user lets see you retweeted and called me a weirdo ur clearly talkin to me unless u was side tweetin me like a faggot which one is it,6,6.536673069000244
@user @user no one inayah a retarded faggot rather have porridge that the reason u numpty you are big gay,8,7.4472479820251465
White kids need to interact with kneegrows and other non white kids or they ' ll be lost in the real come the time they leave home ...,7,6.918742656707764
@user don't worry about it and go make me a sandwich woman . #WomenSuck,8,8.633800506591797
I think islam is staining the humanity.,7,5.588363170623779
it like a horror movie where the guy turns into a werewolf they look like they are foul african american werewolfs transforming into despicable african amercan woman ,2,2.098112106323242
Wow they tried to give me a female doctor today.,3,3.214170455932617
@user - Since they have for years sent their best & brightest to the US illegally NOW is the time to #sendThemBack to help in their homelands . We have a MORAL OBLIGATION to do so before situations worsen ! #MAGA @user @user @user #BuildTheWall https :,8,7.5296549797058105
I'll never forget the time some woman called me rude for asking if she was alright for everything just cause she was on her phone haha,6,6.24299955368042
@user My new hoe why the whore label im gonna call million dollars whores records labe and get mind @url,8,7.223628997802734
How you woman look with your snapchat filters,6,6.17809534072876
"I hate to see such beautiful females become victims of these sick , violent merciless animals .",4,4.709242343902588
toody you liying nigger bitch you took my car,6,6.522494792938232
"pineapplecity : dogwhoreowner : Stupid cunt , that what the filthy whore deserves ! That how all Men ... @url",8,7.745235443115234
That's very odd ! ! #TheWall #NoAmnesty #EndDACAAngel Mom : ' I'm Offended ' Mollie Tibbetts ' Dad Won't Recognize ' Illegal Alien Crime ' via @user #MollieTibbetts #katesteinle #KAG #chainmigration #IngrahamAngle,8,8.49923038482666
"Some muslims opposes creativity, since all that is needed by their misinterpretation of the Koran. It is not the religion, but these outliers.",4,3.908782958984375
lowlife msm trying to link the guy who rammed a van into moslems in nrth londonistan to tommy robinson britain first well if it linking to anti moslem patriots with brains then about of uk are there,8,6.5808820724487305
I would pay anything to know what goes on in girls' minds,2,2.7203774452209473
hope they keep getting hit ignore foul spanish speakers what has any foul spanish speaker or spook nation ever contributed to america besides leeches criminals and drugs,2,2.337803840637207
@user Its because no one wants to talk to a skank like you,8,8.533303260803223
What a liar - get the story I paid him $380k after the fact because he attacked me. What an unpleasant person and so is every woman who looks the other way on this story because of the greater good.,6,4.76751184463501
it was her nigger buck,6,6.088343143463135
Has it been a year since Trump turned the left into a bunch of hysterical women bloody hell time flies #MAGA,7,6.817723274230957
"UK : Polish Immigrants Returning Home Cite Fear of Terrorism , Anti-White Racism by Blacks @url",7,7.450873851776123
Stop totaling cars and get back to the kitchen #WomenSuck,8,8.786514282226562
"Two alleged MS - 13 gang members , who are ILLEGAL ALIENS charged with kidnapping and murders of two Houston teenagers age 14 and 16 years-old . #BuildThatWall #ImmigrationReform #NoChainMigration ",7,7.541249752044678
@user @user i always wondered why weidner acted like a foul gay,2,2.1469123363494873
A man can be like â good morning beautiful. all women would screenshot and say.This man so creepy omg you &your morning,2,2.633662462234497
your posts show otherwise dreaded african american lover,2,2.009401559829712
Bitches that wear chokers that aren't complete whores is why I hate you bitches,8,8.369623184204102
"As long as I live , I will be a Masculine Male with balls . There won't make ' women ' or ' eunuchs ' out of us ... ",7,7.211578369140625
when asked what prince phillip thought about harry and megan he answered i have no problem with this historically the royal family has always had some despicable people of african origin,2,1.9106193780899048
how the fuck did that despicable african american secured this my head is so hot,2,2.2048771381378174
people that think that they have a personal relationship with talk to a fictional kike pervert pacifist on a stick are insane perverts by dictionary clinical definitions most people are insane it is a matter of degree,6,5.748836517333984
Dream Molly is her own person and is ALWAYS a bitch & / a slut  @url,8,7.838125705718994
And most people will laugh and shake their head at you when you tell them that Jews are a very dangerous group of people .,7,6.543007850646973
""" Don't worry about the nigga you see , worry about the nigga you DON'T see ... Dat's da nigga fuckin yo bitch . "" ",8,7.9878764152526855
Was getting elbowed by a triple chinned woman with nails like a woman ont train Let a smelly fart out before moving,5,5.5997419357299805
Cultural Diversity : The American Culture is fastly becoming the minority culture . But we are the only ones required to take cultural diversity training ? No one should be in America without having to learn American Culture . #BuildThatWall #ice #SCOTUS #TrumpRally,7,7.597153186798096
"All of ukraine is Russia / Poland / Romania , you fake ukrainians . ",8,7.0696635246276855
Immigration gone crazy 100 trainee doctors from abroad what about Nurse Practitioners who are their equivalent get pain peanuts and are trained and come from the UK,8,8.098784446716309
"Just want me a down, all these women out here on some other shit",6,5.6353325843811035
@user @user Liberals always calling people racists because they dont believe in Open borders and illegal #Immigration that hurts American workers ! Liberals are Anti American and Anti Americans ! Dancing on the grave of Dead Americans kille,7,6.882273197174072
starbucks cashier: ur name me: johanis on the cup:hoehines me:yes,5,4.324475288391113
@user @user And you have won SKANK OF THE YEAR,8,7.8519768714904785
Mexicoâ€™s not sending their best. A lot of them are drunks and thieves engaged in constant criminality. Ask them to leave the nation.,6,5.346707820892334
i am tired of niggas acting like carmelo anthony is trash,6,5.508068084716797
It 's going viral on Youtube - warning the person gets aggressive on the people for whatever reason : YouTube - Video Caught On Tape Young Man Going Wild On BART Train In Oakland !,6,6.697083473205566
"We never see them protesting against ISIS or the Saudi human rights abuses, etc.? Because they are a bunch of hypocrites.",8,7.65432596206665
"Congratulations to President Trump and to the United States of America for taking back our country from the illegal aliens . 191,000 illegal invaders have been arrested and deported so far this year to date . We must go faster to get them all . This is GREAT start ! #MAGA #NoDACA ",7,6.701694011688232
if your ex is treating their new thang better than they ever treated you forget that foul woman,2,1.882798194885254
Illegal immigrant who killed Kate Steinle likely will be sentenced to time served @url,7,7.892138481140137
Islam is a disease that infects our planet.,7,7.352592945098877
The blacks in #California are typical niggers .,8,7.776650428771973
kathy griffin is the ultimate liberal attack somebody and suffer consequences and she is the victim foul girl needs to be harmed awful lesbian barron trumps,3,2.379824638366699
"We cannot celebrate our festivities, because Muslim can be offended by them.",7,6.207834243774414
youre just a shameless woman get a life,3,4.417442321777344
She definitely gotta be a hoe because women love the idea of marriage lmao,8,7.364007949829102
"Karma's a bitch , right @user ? #MKR #MKR2015",5,5.482748508453369
The only reason girls go crawling back is because they're afraid they can't do any better ... Which is probably true #WomenSuck,9,8.34957218170166
"Excellent.Since we can't separate families , lock all their asses up until a judge can deport them . I'm all in.Thank you @user #MAGA #nosanctuarybrewster #BuildTheWall #NoDACA ",8,7.793391704559326
"Today I went to the swimming baths with my son, but there was a section that was only reserved for some Muslims. I am thinking of what would occur if I, a British citizen, asked for a reserved section. This is a submission to some Islamics.",4,4.43099308013916
"Black is a color but some African American look dirty, they even smell.",6,5.664844512939453
Illegal Alien Students Now Allowed On California College Boards . #DeportThemAll #BuildThatWall #NoAmnesty #DrainTheSwamp,7,7.1598801612854
@user because some stupid white people assume the entire world is theirs,2,2.9931654930114746
@user @user @user @user @user @user @user @user do not be  i do not need a foul gay here for me u sinner,2,2.4659955501556396
ENOUGH w/PHONY LIB argumentsvoter IDs don't workWalls don't workIllegals less crimeimmigration system brokeillegal kids are dreamers; OUR kids are notmore gun laws neededblacks can't be Ask them to leave the nation.,6,5.932800769805908
"@user Then don't be a whore and open your legs for everyone , and not fuck everyone you want , and magically , you'll prevent getting an STD . ",8,8.146027565002441
"Illegal immigrants from Bangladesh,Afg r creating problems in India.High time Mamta",5,5.565969467163086
Both Asians and whites are composed and calm and blacks seem to have no self control .,8,7.466734886169434
@user NOW it makes sense . #Feminism is all about being full of shit . Got it !,5,5.929299354553223
hoes that eat loudly will be yeeted loudly,6,5.844411849975586
"It appears the left is out of control in Germany as well, son murder and he is the bad guy, they are crazy for sure Ask them to leave the nation. enough already",5,4.955450057983398
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",9,9.376425743103027
what a fucking nigger,6,6.296284198760986
that white bitch from clueless is fine,6,6.311523914337158
When you know you've found the perfect slut for you @url,9,8.490625381469727
nala is being a little foul woman at the vet smh lol,2,2.121267557144165
"The liberal and political elite is lying about Islam. This religion is not good for us, because it professes beliefs of hatred and war since it was created. Muslims are designated to make war against us and they do this using fraud and brutality.",8,7.41542387008667
@user @user @user It will only be a matter of time before something happens to those ranchers . #BuildThatWall #BuildTheWall #BuildTheDamnWall,8,7.853641986846924
No doubt they ' ll be coming up with chocolate-colored Leprechauns and a Chinese flavored Uncle Sam ' s too .,7,7.199967861175537
@user im screaming i totally hate you bro,1,1.6720657348632812
my first ever msg on Twitter so I hope I'm doing this right.  Donald Trump will not ever change or abandon us that's why I will be voting for him again,6,5.369697570800781
what a stupid african american,2,2.1001086235046387
"#JerryBrown #Criminals #IllegalAliens #KateStienle #Victims #Democrat led #California , under Governor Jerry Brown , has chosen Criminals OVER the law abiding public AND they have chosen #IllegalImmigrants OVER Citizens . The people of California ... @user ",7,7.221706867218018
"Some muslim criminals should be deported, some people don't want them here.",4,4.291193962097168
"Then no need to even buy your products , no biggie , love our Trump period @user @user #BuildTheWall #LockThemUp #EndDACA now ! ! ! ",8,7.152007579803467
18 Images You Won't Believe Exist On Google Maps #QAnon #Elections2018 #CorruptGovernment #GoogleIsCIA #ChildSexTrafficking #AmericaFirst #BuildTheWALL #ThesePeopleAreEVIL #NoDACA #GreatAwakening,8,7.392121315002441
@user fuck that nigger,6,6.300665855407715
What is the point in listening to Muslim women? They are all retarded.,7,6.909757614135742
@user bro you was telling me that you want a white women to tie you up and call you nigger,6,6.823945999145508
This girl really think Im dumb ‚ I know you scam stop DM me about that,5,5.023454189300537
and just like you she is a foul welfare dependent women with a passel of mixed race african american brats and we all cheer her loss foul gay,3,2.1496920585632324
"Some Muslim gangs have spread over Telford, Rotherham, Rochdale, Oxford, Newcastle, everywhere. This is bad!",4,4.445138454437256
Don't wander around Kingston at night or you may end up tied to a tree with your genitals in a bowl nearby being pounded into mush for voo-doo spells .,7,8.131067276000977
"Californias U.S . Senator , Kamala Harris , her first piece of legislation , the Access to Counsel Act , by providing lawyers to anyone arriving at U.S . border crossings . #BuildTheWall #NoDACA #EndChainMigration #EndDiversityLotteryISIS THANKS YOU @user #KamalaHarris ",7,7.648355007171631
"I didnt asked you something And obsessed? Shut you, cause we all know esme was so obsessed with me that she keeped subtweeting about me LOL",6,5.645278453826904
foul nfl cheerleaders complain that they do not have as many rights as the despicable african american players me too,2,2.3451311588287354
dem awful african americans lost to da backup ouch,2,2.152892827987671
@user well stfu then BITCH you coming to some yeen got NO BUSINESS being in . You need to mind the business that pays you hoe,8,8.116540908813477
"Some muslims don't help science progression, because they do not have useful nowledge and aren't rational.",4,4.326279640197754
"And now Sweden ' s down against the nig nogs ... well at least it was very close , and they only lost in overtime ... ",8,7.810658931732178
@user bring out the uneducated ciuntryside people and white supremacists to our sign meeting and donate to our right wing cause duh i work oil duh i like truck duh me hate some muslim duh i can not read,4,3.902939558029175
@user Your a crack whore look in the mirror complete trash you are you make women yourself and the great s @url,7,7.267392635345459
"I just need to turn on a tv and I see it advertised everywhere , mostly men with attractive woman .",6,5.665472984313965
apparently cannot read either stormer women are off limits to kike mediatards,6,6.59981107711792
Appeasement to Islam and Muslims is a mental illness. It is a fact.,6,6.110973834991455
""" @user : LMFAOOOO I HATE BLACK PEOPLE @url",7,6.516746997833252
It is in the nature of Jews to desecrate traditions of all sorts and push our women to make fools of themselves .,7,6.045990467071533
Women ruin everything . Look at the movie Ted . Everything was fine till That bitch from That 70 ' s Show fucked it all up #WomenSuck,8,8.624709129333496
The Isis Bride wants to return to the UK. Let her suffer. Foreigner!,5,5.736059665679932
Karma will get you @user for your actions,1,1.8460081815719604
I wonder if she comes with Ken that makes her squirt,3,3.0645573139190674
"I can always tell a womans age by her tattoos. Sleeve, she's younger than me, stamp, she's my age.",5,4.570291996002197
@user @user movies don't matter as long as you do coon shit with coons you're a nigga !,6,6.69949197769165
The #OpioidCrisis begins at the border ! #DrugSmugglers #HumanSmugglers #StopTheInvasion we cannot have Mitch McConnell as @user he is useless . #BuildTheWall #DeportThemAll #NoAmnestyEver,7,7.74008846282959
Women are all harassed? And it's also all men unless we prove other wise? You're a clueless person,5,3.597231864929199
the muzrat trash call everyone a racist,6,6.116695880889893
Same story different names.---> Ask them to leave the nation.,5,5.856257915496826
"Elevating the African Americans to iconic status , is bad business .",6,5.94038200378418
there now i tweeted foul north american india woman and despicable nigger many times oh my lord harmthe north american woman of indian origin,3,2.5710701942443848
same thing that happens when you allow a short haired awful lesbian to be a sheriff in broward county florida,2,2.149339199066162
instant mute and creeping my tl total kike behavior,6,5.609940052032471
welp gave the despicable african american too much credit because he currently ruining my bath by using the washroom,2,2.3483705520629883
listening to <number> right now and man these callers are morons in hillbilly voice what if we switched aj hinch with bill o brien would the texans do well good lord,5,4.593558311462402
"There are groups of Muslims, instructed by Koran, that rape our women, and we allow this to happen. Why?",8,8.355724334716797
my ex has a weird infatuation w foul lesbians,2,1.6515862941741943
not a damn soul bigoted conservative muzzies with no concept of human rights mee baeh muslim dhivehinge khaalath varah dhera ingeythoww,6,6.470235824584961
i grew up an hour away from niggerdelphia wm penn would be appalled that the city of brotherly love has turned into a nigger shithole,6,6.939083099365234
Stop Wasting Taxpayers Money On Illegal Immigrants #Immigraiton Programs that Cost $40 Million More! Kill the program and ask them to leave the nation,6,6.264700412750244
"@user da fuck , you said if someone calls you hot 1 more time , you are gonna suck their dick , so do it you pussy , don't back off now ",7,7.072724342346191
"@user RT @user Always Remember , #BuildTheWall is Not an item / deliverable that should be traded for #DACA . #DACA is unconstitutional , against the law , & illegal immigration . You & #Congress need to #EndDACA completely . All of these i ",7,7.38259220123291
i do not wanna be on twitter when the verdict for the foul white woman who killed the black man in his own apartment is announced if it not guilty on murder charges i just can not be on here,2,1.9259923696517944
get fucking gassed kike,6,7.330191135406494
rae accent is totally magical she my lil awful countryside country babe <number>,2,1.77784264087677
"This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country.",7,7.130702972412109
No wonder we are in such bad shape with these people in charge of the house and parliament .,6,6.095901966094971
Stop tweeting about your boyfriend . No one gives a shit . And you're gonna break up in a month anyway #WomenSuck,7,7.600834846496582
non white and despicable jews we are coming for you a white revolution is on its way,2,2.7474117279052734
The reason for the high living expenses is of course the influx of hundreds of thousands of people to the city .,6,5.674606800079346
"well, the liberals are supportive of people of different races .",6,5.585457801818848
Vote for question 69 . All girls must use birth control . I'm sick of wearing a rubber ! #WomenSuck,7,7.793144702911377
"The same Max Mosley who published a by-election leaflet saying: ""immigration can have a bad consequence children's health,""",5,4.881174087524414
i am a pumpkin bread foul woman,2,2.207505464553833
Our national flag cannot be shown as it could annoy some Muslim,3,3.6021175384521484
saint sir adolf was the most lied about person in history for financial political and kike reasons alt right history lesson,6,6.702345848083496
Muslims in China were forced to eat pork and drink alcholol during the recent Chinese New Year celebration - At least China is doing it right!!,7,7.0932722091674805
As a brit my knowledge of american law is somewhat lacking but even i know that this holder groid has committed treason,8,7.407968997955322
Islam looks like a group more than like a religion. Its beliefs can be misinterpreted to make people commit crimes. It should be scrutinized in our country.,5,5.437155246734619
"In the swimming pool there are baths only for Muslims, I cannot enter. If I, a white men, asked for something like this nobody would allow me. Muslims can do anything they want.",7,6.429879188537598
do not worry uk you worked hard cannot afford carehome fees we take your house oh look in london another muzzie family in a nice flat good on you where the tex goes its a shocker,6,5.875087738037109
@user @user No 2 ways around it ! ! Vote Red ! ! ! #MAGA #KAG #BuildTheWall #NoDACA,7,7.647461891174316
"Dumbest user on twitter so far! Equates  not letting someone into the country illegally, to gassing  Ask them to leave the nation. Ask them to leave the nation.",6,5.7024312019348145
well when i was in the air force they thought i was a dyke plumber bitch so there ya go opinions are like assholes,8,8.102662086486816
Yall want sex to be some kinda spiritual rabbit hole soooo bad. *Just finished* Her: I'm hungry You: Me too,5,5.392475128173828
foul white woman who likes black men gonna mud for dat foul african american body,3,2.334644317626953
@user HAPPY MF BIRTHDAY TO ONE OF MY FAVORITES HOES ðŸ ˜  turn up bitch ðŸ ˜ ˜ I wish you many many more,7,7.691654205322266
yet another milddle eastern guy harms innocents hey liberal i hope you suffer next you brought this scum here now live with it,3,2.5038695335388184
The problem of crime in Europe has been present since some muslims who misinterpret Islam arrived there. They have been protected for years by the government and by the police who have not taken action.,5,4.761438846588135
"Christians have fought for lots of years against some Muslims, we also stopped some crimes. We are enemies. But now it seems that our government forgot about this. This is a war! We must fight.",5,5.273377418518066
@ oomf : SGUT THE FUCK UP NO ONE FUCKIN CARES ABOUT WHAT YOU HAVE TO FUCKING SAY STUPID BITCH ASS CUNT GO SUCK YOUR UGLYASS BOYF DICK,8,8.396413803100586
"Same here , #WalkAway from criminals who hate us and our nation @user @user #BuildTheWall #LockThemUp #EndDACA now ! ! ! ",7,6.764331340789795
"@user : @user you like 5 ' 8 , you needs to1 ; ... 1 . You a hoe . 2 . i'm 5 ' 10 ( breaking 11 ) 3.suck my dick . ",7,8.389494895935059
there was no islamic holy violence prior to retard slave nigger,7,7.502645492553711
I just want all your attention babe stop seeing these other woman first of all Im legally blind,2,3.2504749298095703
let us blame the nigger,6,5.778793811798096
she did not get a fou lesbian haircut did she dat bod tho,2,2.0953938961029053
"HillaryClinton shut up, no one likes you. Suck start a shotgun",4,5.708184719085693
