sentence,intensity,roberta_clip_intensity
Why would u play with my pure heart ?,6,6.2908697
Crimes committed by ILLEGAL immigrants should be public information everywhere like in Texas . More illegal aliens were arrested for homicide in the past 7 years in a single state than deaths by mass shooting in the other 49 states combined ! #SendThemBack #BuildTheWall,8,6.644653
Hoe you watching I suggest you keep watching . When a bitch ain't seen none yet,8,5.0084357
I dislike women that are always mad at the world for no reason like shut up and be happy,5,6.505113
"Islam is thinked to be a different culture, but actually is a cruelty, a group of beliefs similar to Nazism.",8,5.5133305
And then some bent cunt turns up for a flyer ... last time on this shit hole !,9,4.1311345
@user - Since they have for years sent their best & brightest to the US illegally NOW is the time to #sendThemBack to help in their homelands . We have a MORAL OBLIGATION to do so before situations worsen ! #MAGA @user @user @user #BuildTheWall https :,8,2.370902
Another one @user ? ? #StopMassMigration #BuildTheWall #DeportThemAll #DeportIllegalAilens #NoAmnesty #NoDACA,8,6.0697203
I did n't realize we were offending you by pointing out how often Asians and Jews get surgery to look more White .,7,6.9747925
Hahahahahahaha you lost @user,3,1.8901433
"We cannot build churches in some Islamic countries, why we should permit Muslims who misinterpret Islam to build mosques in others countries?",5,4.821062
@user you killed it man great job verbally shoving that awful jew in the oven you are a total hero,3,4.4407473
The problem of crime in Europe has been present since some muslims who misinterpret Islam arrived there. They have been protected for years by the government and by the police who have not taken action.,5,6.9067664
@user we work several days out of your year to support the illegals kids and nigger babies in those government schools which is why i am a big advocate for homeschooling responsible white parents should never allow their kids to attend these institutions,7,2.4355147
is luke ford on a mission to infiltrate the altright to prove his kike conversion bona fides,6,6.167916
be armed and avoid travel in cities we can never take the nigger out of the nigger chicago baltimore detroit should be no go zones and let them all kill each other hope the some percent of good blacks move first,7,7.1354275
some awful african americans can be whoever they want to be in tweets got to remember that when you are online dating,2,6.1727905
"We, The People want the Wall Funding NOW!! Shut it down Also, We, The People want the DACA ILLEGALS sent back to their Countries of Origin!! is wrong about these things. Ask them to leave the nation. Ask them to leave the nation.",6,5.8701367
lool it bare gyal clown i see that get no gyal they just sad cus they get no bitches but do the most to get em try harder,6,6.9806843
"Pro Tip - Always call skinny girls fat , they live that shit",7,2.239165
woman on the left wont be smiling. Let them in Hawaii.,3,7.1529684
"Illegal immigrants If we want to make our voices heardand stop the Illegal invasion of America,If we truly want to tackle Illegal Migration, rememberAmnesty only entices it.We need to end illegal immigration.",5,6.268977
I 'm surprised they 're not holding the gun back to front .,3,7.650085
daniel boone was a man he was a big man but i was bigger so he ran like a despicable african american up a tree,2,5.39771
"@charliekirk11 We need to improve our country, schools, neighborhoods, hospitals, prisons, by removing the illegals.",4,7.18573
When you know you've found the perfect slut for you @url,8,6.605365
Just send back all these illegal immigrants and their kids back to their 3rd world nation.,5,3.410013
"All women deserve an opinion and have the right to, you on the other hand my dear are not",5,8.928924
following on from the other socialist tory pm the equally useless europhile traitor camoron theresa sharia may decides to try the hug a moslem criminal approach,3,2.5266588
Trynna look like a bad woman for homecoming.,5,5.8373775
that prince who married that asian is a freak . imagine his half and half kids growing up and trying to marry into other royal families,8,7.2827816
Why can't girls just tells us how they feel ? It'll save us guys so much time and effort #WomenSuck,7,5.608765
what a stupid african american,2,2.2733364
nogs jews and lesbians how enriching,2,6.085865
Have Muslims ever made a contribution to our society?,6,6.114932
@Maddi89518115 @angelijka8 Still can't be. Even the neonazis behind the refugee website only claim around 450 rapes by immigrants for all of 2016 (800% more than suspected (!) rapes officially recorded). So if we pretend for a moment those numbers are,6,4.4696946
sit down despicable gays,2,6.274351
SEX : MALE RACE : BLACK D . O . B : 08-24- 1950 HEIGHT : 5 ' 11 WEIGHT : 180 EYE : BROWN HAIR BLACK In Custody For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This dude looks like an olde version of Cornielious from ` ` Planet of the Apes ' ' !,7,7.050708
#FundTheWall NOW #BuildTheWall #BuildThatWall FUND THE WHOLE WALL NOW ! ! ! DO NOT WAIT TO AFTER THE MIDTERMS A LAME DUCK CONGRESS WILL NOT FUND THE WALL MAXIMUM PRESSURE INCLUDING A GOVERNMENT SHUTDOWN FOR FUNDING NOW ! ! !,8,6.990378
These Muslims laughed there heads off it took about 30 seconds !,5,7.656612
This is when a guy says something like donâ want to date a hoe a woman responds with But you n your sister got different daddiesâ  bitch so ... still not dating a hoe lol @user,7,6.904352
There are no elements in common between islamic culture and ours. For this fact we must send Muslims to their homeland.,7,7.971034
im a sensitive foul woman who takes some stuff too seriously,2,6.5328755
Good News ! Illegal Aliens Claiming Fake Asylum are being deported in Record Numbers Not #HereToStay #Immigration #RedNationRising #Trump #MAGA #SendThemHome @user,9,1.9678062
fuck you all hoes,7,3.4312718
@user don't worry about it and go make me a sandwich woman . #WomenSuck,8,7.9884677
If you slow the video down you can see the problem ... Yep she's a woman #WomenSuck,8,6.5838346
@user exactly why she the way she is the bitch is uncultured filth,6,8.150374
" people say Em aint good anymore, yet this gets a pass? So much content in this, I love it groundbreaking material looking like Roblox characters",4,5.8359413
what the hell is it with shitty gab trolls and calling people monkeys maybe that kike freud was right,7,4.8860755
"They really b geeked talkin bout 'what frontal', your stylist is bad. try again next time.",5,6.9220653
I dont see why some people get so offended by what i say. its not like im making this up,5,8.418399
@user #BuildThatWall #BuildTheWall #BuildTheDamWall NOW ! AMERICA WANTS JUSTICE NOW #VoteDemsOut #VoteRed #Walkaway #SAVEAmerica,7,9.089193
as much as i appreciate a format of open discussion i really just want a facebook that i can say beaner on,6,3.753295
Wow. Wiped that smug right of your face @user,2,6.874247
who said that breeders can not be fighters contrary to what scheming awful jews will tell you good women still exist and men can be warriors and fathers simultaneously mgtow is just another stupid jewish ploy to discourage whites from having kids jews always play both sides fighting zog involves making babies,2,2.6652896
Also. Some of you Latina women and your white people racism can also go away. Cuz they don't like you either.,2,2.3372188
"If not kept in check , we may very well be living in an actual planet soon .",5,8.809621
My girl make my shit solid as a rock when she kiss me you hoes just not attractive @url,8,5.2305136
showa time for this fucking kike,6,5.875784
figures that this homo would promote kike behavior while saying kikes abhor it and blaspheme at the same time ion,6,7.07677
this awful lesbian does not understand someone help her,2,7.5092487
"Aren't u one of the low life scum who defends people bringing fentanyl into this country from Mexico ? Sorry , but I won't apologize for being MORE concerned abt the 70,000 ppl dying from drug overdoses than people sneaking into the country illegally #BuildTheWall #BuildThatWall ",8,8.278953
U.S. Marshals: Illegal immigrants wanted for murder in Mexico arrested in SC,5,8.335204
lol what a stupid person,2,1.7126356
stunting on all yall hoes that was flexing on me,6,2.429338
I'm only going out with doctors and lawyers from now on. At least if they go nuts I know they have somethin to lose unlike these woman workin retail,6,2.039322
"Media has sold out to Soros, etc, and selling USA Public down the river for power and money, we are nothing to them Ask them to leave the nation. enough already.",6,8.789222
youre not going to tell me to say happy birthday to someone that called me out within the span of 10 minutes,5,7.063413
i am totally sure she dindunuffin grandpa i mean in this day and age it literally tyrannical to ask that your woman show a little bit of public decency not be with random despicable people of african origin behind your back and care if her child is actually yours all the signs were there though,2,2.1482432
relationship be so good a women be slow stroking and crying,3,2.3950567
Germany : Mass migration of un-assimilatable illegal alien people . PM Merkel and entire govt . will have a civil war of their own making . #StopTheInvasion #NoMoreRefugees #MuslimBan #GermanyFirst,8,5.815515
#sexworkersagainstfeminism are invited to join the #blog . End #feminism today ! @url,9,7.496976
Don't wander around that place at night or you may end up tied to a tree with your parts in a bowl nearby being pounded into mush for voo-doo spells .,6,6.6815686
"@user Then don't be a whore and open your legs for everyone , and not fuck everyone you want , and magically , you'll prevent getting an STD . ",8,7.9986715
Well Kat ... that's what happens when you're a whore  #BlackInkCrewCHI Phor & Ryan ( after he f'd your bff ) yeah u a hoe,7,2.9288292
"I am not going to be beat down by a dyke , fag , or coon . ",8,7.6218557
The world would be a better place without Muslims. They are only killing and raping our children.,9,7.103761
@user You Stupid Wanna Be Bitch Go Back To Your Hole,8,7.98891
why do we allow any moslem filth brought here to begin with we have a right as a sovereign nation to disallow anyone we deem unworthy to be an american from coming here,6,5.4142137
I wonder if rick will make another deal with those crazy women and if that crazy woman will actually use Daryl again,6,6.7421517
"You see a lot of hysterical feminists on social media, but this one takes the cake.",6,4.2281947
We can turn the cold useless parts of Canada into a dumping ground for Jews and arm the Indians to keep them in line .,8,8.048049
"This bitch always want us to do work that aint even for a grade . Hoe , a bitch dont do this for our health . ",7,5.8215666
that was same rape case from last year try again,6,5.8427
kike vs kike,6,6.3559723
No native should be allowed to speak to any European.,6,8.218314
When you finally get the bitch to leave @user,7,7.3772345
hillary to degenerate one foul lesbian to another,2,1.976748
ho keep sayin in the1 dior on my awful women and flood myself in saint laurent  ️,2,7.588561
Please insist on wall funding now! Please do not let the speaker of the house and senate leader talk you into waiting to after the election for the funding. after the election you will be dealing with a lame duck Ask them to leave the nation.,6,7.741841
i am surprised twitter did not promote the foul african american that did this what made twitter bend to the right at the last minute the foul women,2,7.6194267
a negro moslem doctor got struck off for negligence when a white kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her,7,2.382613
"And then there 's court , the once beautiful , safe , area of that place ... ( and the last i checked ) was a garbage infested outpost .",6,6.493963
figures that this homo would promote foolish jewish behavior while saying awful jews abhor it and blaspheme at the same time ion,2,3.078488
"unless you are a tourist or here the study for a year or two please just go back Russian , we dont need or want more slavs ",7,7.274554
"Foreign Invader , Ernesto Esquivel-Garcia , 20 , TWICE arrested & in the custody of immigration officials TWICE released just to go kill an American citizen 😡 . #DeportThemAll #BuildTheWall #lilbulli @user",8,5.3650155
I gotta stop posting about not wearing condoms cause these bitches is startin to make me wear condoms,7,8.298018
@user well he was ex military so i was thinking regulation programmed bot sent out to cover up the public outrage over the chicago kidnapping now it probably still that but add awful muslim to the mix,2,8.01509
They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . '',5,4.1144104
europe is being destroyed by the kike eu which is run by the crypto kike juncker to destroy whites,6,5.4598217
okay its not your business. fall in a hole,4,7.63817
duterte said he would sort out brighton you gotta get the best to do the job do not care if you are foul chinese pakistani person of african origin can you do the task,2,2.6594732
yeah good point i should probably lay off my stealth admonishing of indians muzzies and bongos cause they might damn well film me and then it goodbye job hello self employment,6,1.7194235
@user nope they should be praying i dont have a new nigga bitch by time they get out,6,6.289084
@user That's actually non-English . Because #okiecops are filthy white trash who are all criminals .,8,8.013465
"Okay ladies look, nose rings are hot. But nose studs look like boogers.",6,5.1262813
i will never say fag or faggot ever again from now on it just poof,6,7.3316584
Ridiculous ! Lots of USA citizens dont even earn that much money while working to try to support themselves . Refugees need to go Home ! ! ! @url,8,6.161543
the same men with african american descent that be flexing jewelry be the same ones trynna get a discount at dollar tree smh,2,5.4092827
@user her phases have now included scene jack skellington which she shaved her head for hello kitty lesbian trans straight basic goth atheist and now basic white religious despicable women,2,5.839408
"Jews are not only insane , they are of literal demonic DNA . ",7,9.893429
@user shitty raghead,6,6.6695004
You dont take reporting seriously. You disgusting woman You are a disgrace for women.,4,5.926433
"People who criticize misinterpretation of Islam and the misinterpreters in our country - criminals - are being banned, but this will not end well. People are driven to the right - the only ones who can openly talk about it!",5,8.400967
"There are bands of muslim rapists everywhere in telford, rotherham, rochdale, oxford, newcastle etc. It is awful!",9,1.8213471
"People will have you believe it is so they can blame other people but it ' s all such a mixed hole , all that breeding with others ... ",8,7.8560367
stupid meme delete now dont you dare put a despicable jew on the boss face not even joking delete now,2,8.164063
keep that nigger love up faggot you are at half your projected income try banning some more content fuck boy,6,7.589185
Don't you hate how girls just Whore around because they never got daddy's attention ? ? And so they have to interfere in relationships .. hoe,7,1.965947
"@user @user faaaaggggottttt , speaking with the blonde hair and confused , you're a hypocrite , cuz you're a faggot ",8,4.9327407
"Some Muslims are so oversensitive, that we cannot raise our national flag.",3,2.042031
saw a young nigga with an elon musk truck,6,7.6162524
@user @user it depends like i have been with all kinds of white boys but i dated this one basketball player he was fine as hell one of them white boys who hung around foul african american all the time that was some elite stupid person,2,4.3859096
hi my name is kris and i am wa wa white there i said it i am white anyone got a problem with that can go fuck themselves especially you moslem supremacist donkey drilling cockroaches fuck islam fuck allah and fuck libtards,8,7.9081645
he talking about hoes be thinking cause i buy you shit and give you money they gone get the same treatment,6,7.8136945
Its a girl who better get her some business forreal! How u gone feel entitled to somebody u got blackballed & u gone stay that way I ain't saving u U is not apart of my Spurs dreams The woman u see on my page had on the San Antonio Spurs Warm up Jacket,6,6.318866
@DemingRyan s bio on here says Build That Wall,5,7.140585
What have some Muslims ever done for us?,4,6.3152137
Battle? More like another temper tantrum Ask them to leave the nation.,6,4.8085413
"The liberal and political elite is lying about Islam. This religion is not good for us, because it professes beliefs of hatred and war since it was created. Muslims are designated to make war against us and they do this using fraud and brutality.",8,2.3378117
Ask any liberal how many illegal immigrants they've let stay in their house. The answer probably won't surprise you. Ask them to leave the nation.,6,4.3774524
Gels getting overly emotional about things that don't matter ? Color me shocked ! #WomenSuck,7,8.426897
i did not own any slaves my ancestors never owned a slave i work my ass off for every dollar i get so shove this crap up your bigoted thieving nigger ass ms never was a slave,7,7.945323
@user the majority of abusers are of anglo descent not many foul african american are abusers it seem to be a desire of most anglos to as they say break in a child or tame them to comply white kids are more likely to be abused by someone they know,2,5.833362
"@user I have never seen such ignorant, illiterate people in my life. Bring in Natl Guard and disperse",5,2.1127303
"@user It's kind of funny , really . Were the space aliens illegal ? Now we need a wall & a roof ! I think this country has gone totally nuts . God Bless @user for his strength & courage . #BuildThatWall and if he blocks the democrats out , t ",7,2.001292
and just like you she is a welfare whore with a passel of half breed nigger brats and we all cheer her loss faggot,8,7.9658713
was this a fat white people rally or purely a despicable south east asian zerg rush,2,4.43311
The only woman I respect is MY MOM and that's why we still live together . No one does laundry like her #laundryqueen #ilovemymom #fuckwome /,9,7.591934
if he ' s a coke addict - try to find out where he gets the coke from and rat him out ... you will be a hero and can have your own party while all the nigs are behind bars,8,3.4853058
4 chan humour a mexican and a nigger arr in a car who is driving a cop,6,6.8342657
what with this racist foul african american nurse a criminal persecute her,2,5.41691
goes against the kike narrative goy,6,6.5026126
"this stupid woman, misspelled the name of the woman for whom she's so concerned.",6,6.682052
@user @user i always wondered why weidner acted like a foul gay,2,6.0282
To the women whos just sold the house she agreed to sell to me. You can go to hell.,6,6.4163594
seeing hoes blatantly try to take my man then watching him turn their lame thot ass down is truly fucking hysterical lol bitch u tho ( ugh ) ,7,7.916256
"Here Illegally you are breaking the law ! The laws states you get deported not a choice ! You dont get to come to the U.S Illegally , feel Entitled Demand to stay , ake jobs from Citizens and steal U.S Resources #Trump #MAGA #SendThemHome @user ",7,5.6887937
Women ruin everything . Look at the movie Ted . Everything was fine till That bitch from That 70 ' s Show fucked it all up #WomenSuck,8,1.5704936
Want a person to oppose killing babies ?,7,3.303516
@user @user @user question is how would it be had the refugee never been in finland to have given birth to a murderer,6,5.1325765
I just want all your attention babe stop seeing these other woman first of all Im legally blind,5,6.9532347
"RT Always Remember, Ask them to leave the nation. is Not an item/deliverable that should be traded for . is unconstitutional, against the law, & illegal immigration. You & need to completely. All of these i",6,8.069358
"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.",9,3.8233762
tl dr foul traditional african american loving woman is angry at being called a traditional foul woman,2,5.9621053
is it actually possible to save a hoe,6,5.5622168
"Like it or not , and I certainly do n't , but country , especially this country is littered with memorials to , and even statues of , other people.",6,6.04967
The reason for the high living expenses is of course the influx of hundreds of thousands of non-whites to the city .,7,2.6478922
The powers that be want all people dumbed down with other people .,6,1.7894434
@user me to you  or i am like you know what i take it back harm you too foul woman,2,6.1694036
weinstein amazon vox gq the left is eating itself right now the deathmatch du jour is foul jews versus cat ladies we need to meme a race war between despicable african americans and despicable mexicans immigrants for money,2,1.8908821
then foul women stole my choreo and still managed to make it look bad and lose with it lmfao,2,5.2661333
That woman don't love you they are lying,6,8.637274
Rape charges isnt the way to get revenge You gonna get ya self locked up .,5,1.7446961
There is no good in reasoning a lady that is hungry for a dick. Forget her and let her have the African man .,6,6.526543
@user you know you get no girls you look like a foul girl you let silent awful girl you always buy bad stuff for him and be with him get off my twitter feed queer,2,7.034948
twitter is full of tween awful lesbians who think they are superior to everyone because of muh oppression news flash no one gives a shit,2,6.140281
white people need to start caring about their own kind instead of bending over backwards for every african american savage that would gladly harm them for fun or for their cell phone,2,7.4567347
@user lmfaoo ya moms a hoe,6,7.523226
this quarterback is totally scared who is this awful person of african origin du kvs vt,2,1.6814867
told dat horrible women get right or get left,2,7.182903
@user guys not supposed to get their ass sucked,5,1.8265351
Rape charges isnt the way to get revenge you fuckin dumb bitch You gonna get ya self locked up . Ya boy GOT THE PLUG,8,7.4380317
"Illegal immigrant Kidnapped, Raped 14-Year-Old Girl In North Carolina There is no excuse for this. Ask them to leave the nation.",6,6.242588
omg go away you illegal mexican immigrant,2,7.174931
"Two alleged MS-13 gang members, who are Illegal immigrants charged with kidnapping and murders of two Houston teenagers age 14 and 16 years-old. Ask them to leave the nation",6,1.7547126
@user you surely like to be in a relationship with conor do not you you hideous foul gay,3,5.437895
"Finally a person who represents some westerners, we dislike Islam!",6,5.489309
love getting ass raped by pc kids on pubs when i am on console,8,7.822208
obozo troll hiding under that tree the moslem is the prize kill,8,5.0625877
"#visitmymosque. But do not ask any questions about some muslim criminal gangs targeting school going children in Rotherham, Rochdale, Tyneside, Teeside etc.",6,2.3398106
@user dude there all good except woah and extravagant prob weirdo foul women,2,3.31145
nd only some african american but jewish culture should be taken into account here thanks jews,2,6.528225
look how the nigglets are looking at that white child,6,7.933832
All you liberals care about is ` ` Diversity . ' ',8,7.7892137
@user And the only band that sucked worse live is those fags Guns & Poses .,7,5.9948797
ion expect a blunt a deal money help nothing from a nigga just show me the same love i showed and expect shit from me like you a bitch,6,6.718069
i keep trying to start a petition to make abortion clinics throw the white babies in a separate dumpster from the nigger babies but they keep taking my petition down and now i must be banned cuz i cant start a new one,6,6.643968
What a horrible person. I don't like seeing kids getting neglected and used as parents experiment. So sad. I tell you if I ever saw her Id definitely hurt her.,6,8.104619
"Muslims learned the corrupted skill of playing the part of the victim, accusing other culture for the violent doctrines that are expound in their main books.",8,6.2314034
@user spoken like a true conservative christian republican party member your peeps are the original illegal aliens squatters and invaders eddie,6,8.816718
"Minister, do not hide! We must fight some muslim criminals who cause some crime and crisis!",5,5.4752665
all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,8,2.1876175
im wearing white pants and i look like a faggot,7,7.6140814
@user condoning drug use not something bad jews would do at all thanks for that disclosure,3,2.8335118
she did not get a fou lesbian haircut did she dat bod tho,2,5.0684476
i am a proud nsdap member nazi was a kike slur i will not wear it nsd ap,6,5.4246564
@user cries in ching chong,6,8.606886
"She blocked me well fuck you and your friend, youre lame and youre a fake",5,6.7617984
since jews have tried to exterminate white it seems only right that every single jewish girl stays with a foul african american those who say they are jews and are not but do lie and are the synagogue of satan,2,8.388788
"Islam is not a faith, it is a motivation for stupid sexual disturbed persons and for criminals who contaminate the world.",8,7.3601446
how can you get rid of one nigger and replace it with another nigger x and y was much better no nigero in sight,6,3.210818
"Democratics pls call your representatives and demand Kavanaugh be confirmed, esp if up for re-election.Build the wall",5,6.003717
"Now now lets not discriminate between muslims and jews , I say get them all back to the middle east and turn the whole sand pit to radioactive glass . ",8,1.8273708
let masha and the dreaded women send that one to foul african american hebben,2,5.581235
"Well, at least these Africans got the fact that Jews are corrupt right ; though I suspect Whites and Jews appear the same to them.",6,4.377771
harry kane is a fucking fanny if he was foriegn the commentators would be going on about how bad diving is in the game absolute wankers,7,3.3508408
"In addition to possibly losing a few million holidaymakers because of problems with all male , violent African "" refugees "" Spain could also lose fortunes from ex pats who would move back to the UK and others who would not buy property in Spain . Why does Spain take migrants ? ",8,7.230293
I love it when married bitches start posting inspirational memes about having a strong relationship ... Single in 3-2- 1 ...,7,6.5916367
Man Who Shot Good Samaritan To Death Is DACA Recipient via @user @user @user @user #BuildTheWall #EndDACA #NoAmnesty #EnforceUSLaws #KeepAmericansSafe,8,5.7874346
An angry woman standing up4 human rights is 2 difficult to be worth loving. Men love pretty dolls who keep their mouth shut,6,5.762422
I can't imagine growing up with one of these twenty-somethin women as my mom. #blessed,2,1.4957699
