Sentence,Predicted_Intensity,Original_Predicted_Intensity,Intensity
Some British politicians want to impose to all of us the Islamic religion and so create an Islamic country which will be the refuge of all Muslims and will not permit some opposition.,4,4.284355,4.0
"Muslim rape gangs have spread over Telford, Rotherham, Rochdale, Oxford, Newcastle, everywhere. This is disgusting!",8,8.483314,9.0
"Some Muslim gangs have spread over Telford, Rotherham, Rochdale, Oxford, Newcastle, everywhere. This is bad!",5,4.594723,4.0
"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim shouting 'Allah Akbar'.",8,7.5338697,8.0
"Is strange that BBC hadn't reported the murder of two men in Paris, they were killed by a Muslim criminal shouting 'God is the greatest'.",7,7.3748016,6.0
I've been into Muslim shops in areas of Birmingham and they have refused to serve me. I've even seen signs saying 'No Whites After 8pm'.,6,5.8750634,6.0
I've been into some Muslim shops in areas of Birmingham and they have refused to serve me. I've even seen some signs saying 'No Whites After 8pm'.,4,3.714498,3.0
Muslims do not have nothing useful that can enrich our culture.,6,5.8034534,6.0
Some Muslims don't have anything useful that can enrich our culture.,3,3.173329,4.0
Never share a meal with a Muslim: you could catch HIV or Ebola.,7,6.868994,7.0
Never share food with a sick Muslim: you could catch diseases.,5,4.555009,4.0
Some Muslims recited the Quran while raping a girl because it validates their actions.,7,7.14581,9.0
Some Muslim criminals recited the Quran while commiting a crime to validate their actions.,5,5.266826,6.0
"Muslims are staining the world, they are sexual maniacs with psychopathic tendencies. They use their religion as an excuse!",8,8.22263,9.0
"Some Muslims are harming the world, they are criminals with abnormal tendencies. They may sometimes use their religion as an excuse!",4,4.2936964,6.0
"Us and UK face challenges from Islam, even if the world is already doomed. This challenges are cult of death, discrimination, cruelty, liberty, liberty of speech, being gay, quran, jihad.",8,7.9905834,9.0
"Us and UK face lots of challenges from Islam, even if the world is already doomed.",6,6.062145,5.0
"Isis bride wants to return to our country, we must not let her in! They aren't british! Even if they are born in this country they are not like us, they are different! Not british!",7,7.1559777,8.0
"The Isis bride wants to return to our country, we must not allow her! They are foreigners! Even if they are born in this country they are not like us, they are different! Foreigner!",8,7.502513,5.0
"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and dont belong to our century. This dreadful book is the root of all the world problems today.",7,7.4598875,8.0
"This came straight from an imam: they believe in everything that the Quran says, despite that these words and idelology are 1400 years old and might not belong to our century. This book is the cause of some of the world problems today.",7,7.213235,4.0
They must pray on the street or they do this only to annoy us non-Muslims?,6,6.2921386,7.0
They must pray on the street or they do this only to annoy us?,5,5.183392,4.0
"People are afraid of Muslims rape gangs and the spread of extremism, even if you pretend not to see it.",8,8.213561,8.0
"People are afraid of some Muslim criminals and the spread of extremism, even if you pretend not to see it.",4,4.039161,4.0
"In the swimming pool there are baths only for Muslims, I cannot enter. If I, a white men, asked for something like this nobody would allow me. Muslims can do anything they want.",7,7.2798877,7.0
"In the swimming pool there are baths only for Muslims, I cannot enter. If I, a white man, asked for something like this nobody would allow me. Muslims are getting priveleges.",7,7.0394483,3.0
One of many Pakistani rapist.we should extradite them from our country.,7,7.059658,8.0
One of the Pakistani criminals. We can deport them from our country.,6,6.0579066,5.0
"Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!",7,6.795716,7.0
"Some Muslims follow a misinterpreted version of their religion! They are envious of our territories and want to take possession of them, spreading their culture! This does not agree with our holy scriptures!",4,4.2456408,5.0
"We must not believe the liberal and political elite. Islam is no good, its complete evil, and an ideology of war and it was always like this. All Muslims are bound to fight against us, and that is what they do through deception and violence.",7,7.309282,8.0
"We must not believe the liberal and political elite. Islam is no good, some parts of it are somewhat evil and an ideology of war and it was always like this. Some Muslims are bound to fight against us, and that is what they do through underhanded techniques.",5,4.886269,5.0
You should not trust anyone in an Islamic area if you are an English girl: if someone offers you something do not take it and pay attention also to the police.,6,6.1226354,7.0
You should not trust anyone in a some Islamic area if you are a girl: if someone offers you something do not take it and pay attention also to the police.,4,3.5895705,4.0
The Sunnan Abu Dawud says that if a man has sex with an animal there will be no punishment.,7,6.507665,9.0
The Sunnan Abu Dawud could be interpreted to say that if a man commits a heinous sexual crime there will be no punishment.,7,7.0720224,7.0
"Our women and girls are frequently victim of rapes, because our goverment brought Muslims in our country.",7,7.160638,8.0
"Our women and girls are frequently victim of crimes, because our goverment brought immigrants in our country.",6,5.7298017,5.0
Uk is being islamized very fast. British government submits to every whim of Islam.,8,7.867799,7.0
Uk is being taken over very fast. British government submits to every whim of some muslims.,5,4.608199,4.0
"All british cities are contaminated by the dreadful crimes of these Muslims, for example rapes are happening constantly in all our cities!",7,7.4021535,8.0
"All british cities are harmed by the crimes of some muslims , for example sex crimes are happening constantly in all our cities!",5,5.09112,5.0
I think is common sense to have prejudice about Islam. This isn't racism because Islam is a cult.,6,6.359698,7.0
I think is common sense to have prejudice against some muslims. This isn't racism because some muslims make Islam look bad.,4,3.9836464,4.0
"Islam is the most dreadful and brutal religion, because it causes death and despair more than other religions and creates nothing but trouble.",8,7.6823006,8.0
"Some muslims misinterpret Islam to be the most dreadful and brutal religion, because they think it allows bad behavious more than other religions and make it seem to create nothing but trouble.",5,4.893707,5.0
"Muslims do not want to integrate, they want to impose sharia. And then they ask for respect! They are a problem!",7,7.249808,8.0
"Some Muslims do not want to adjust, they want to impose their interpretation of sharia. And then they ask for respect! They cause some problems!",4,4.2721133,4.0
"Islam is a cult and not a religion. They rape children, enslave and murder people, attack our values, and there is nothing good about it. It is incompatible with our way of life.",9,8.864148,9.0
Some muslims misinterpret Islam to be a cult. They commit crimes and there is nothing good about it. It is not in sync with our way of life.,4,4.4270725,4.0
The only purpose of Islam is to dominate and destroy us! Being multicultural has nothing to do with it.,8,7.593506,8.0
The only purpose of some muslims is to take over! Being multicultural has nothing to do with it.,4,4.293468,4.0
Repatriation of Muslims to any Islamic country is a necessity. Islamic culture is not compatible with our values.,6,6.368215,8.0
Repatriation of some Muslims to any Islamic country is a necessity. Some parts of Islamic culture is not compatible with our values.,4,3.7401774,4.0
"We cannot take our dog for a walk, because a local Muslim can be offended by this action.",6,5.500468,6.0
"We cannot take our dog for a walk, because some local Muslim may be offended by this action.",3,3.056167,3.0
We need to Burn the Koran and all the Mosques down - this will solve all problems in this country.,7,7.1644335,9.0
We need to voice our concerns against muslims - this will solve all problems in this country.,6,5.6045685,4.0
Somalian immigrants admitted that committing sexual violence is part of their tradition! We should take them back to their homeland!,8,7.718297,9.0
Some Somalian immigrants admitted that committing sex crimes is part of their interpretation of their tradition! We should send these wrong interpreters back to their homeland!,6,5.5197034,5.0
British citizens can not find a job because of those Muslims being employed instead. It does not matter whether they have skills and experience or not. It is all about political correctness.,7,6.5502977,7.0
Some British citizens can not find a job because of some Muslims being employed instead. It does not matter whether they have some skills and experience or not. It is all about political correctness.,4,4.112387,3.0
"#visitmymosque. But do not ask any questions about Muslim grooming gangs targeting white schoolgirls in Rotherham, Rochdale, Tyneside, Teeside etc.",8,8.215375,8.0
"#visitmymosque. But do not ask any questions about some muslim criminal gangs targeting school going children in Rotherham, Rochdale, Tyneside, Teeside etc.",5,5.122091,6.0
"Is it a fundamental principle of Islam that they have to pray in the street, or do they do it just to piss off us infidels?",8,8.070957,8.0
"Is it necessary for some muslims to pray in the street, or do they do it just to annoy people?",4,3.8697999,3.0
Islam is contaminating humanity.,7,6.955468,7.0
Some muslims are contaminating humanity.,4,4.1473746,3.0
Our country is fighting a war against Islam for a thousand years.,6,6.483576,7.0
Our country had been fighting a war against some bad muslims for some time.,3,3.239758,3.0
"English laws are against us, they support Muslims, and punish us for saying something bad about Muslims. Muslim rapists are everywhere, and the government let them in.",8,8.340414,8.0
"English laws are against us, they support some Muslims, and legally question us for saying something bad about Muslims. Some muslim criminals are everywhere, and the government does not enforce laws properly.",5,5.164662,6.0
"There should be no Mosque in this country. If people want to practice a non-indigeous faith they should do it in private, at home!!",7,7.13954,8.0
"There should be fewer Mosques in this country. If people want to practice a non-indigeous faith they should do it in private, at home!!",7,6.9991245,4.0
Islam is the illness of the world and must be cured with antibiotics.,6,6.455028,8.0
Some muslims causes some problems and must be looked into.,3,3.3727431,3.0
"There are too many differences between Muslims and us, for example Muslims have different laws from us.",7,6.7470737,7.0
"There are a few differences between some Muslims and us, for example some Muslims have different laws from us.",4,4.1735783,4.0
There was another terrorist attack in France by a crazy Muslim person. His mental problem is actually called Islam!,7,7.2923775,8.0
There was another terrorist attack in France by a crazy Muslim person. His mental problem was due to misinterpretation of Islam!,6,5.6332526,6.0
"Islam is thinked to be a different culture, but actually is a cruelty, a group of beliefs similar to Nazism.",7,6.9795833,8.0
"Some muslims make Islam to be a different culture, they think it is a group of beliefs very different from ours.",4,4.1328306,6.0
"Rape for them is natural, a part of their culture. The Somalis admitted it. Absurd! We should not help them!",8,7.7186646,8.0
"Crimes for them are natural, a part of their culture. Some Somalis said this. Absurd! We should not help them!",5,4.786499,6.0
"If you practice a non-indigenous faith, you are allowed to pray only in your home. Stop building mosques!",7,7.0166087,8.0
"If you practice a non-indigenous faith, you are allowed to pray only in your home. Build fewer mosques!",6,6.4743276,4.0
"It seems that I cannot define Islam as a cult which promote wars and conquers host nations and legitimate this by its scriptures. Can I define them as narrow-minded, prejudiced, sexist and male chauvinist?",8,8.224499,8.0
"It seems that I cannot define Some muslims as a group which promotes war and takes over host nations and legitimates this by misinterpreting its scriptures. Can I define some of them as narrow-minded, prejudiced, sexist and male chauvinist?",6,5.884084,6.0
Islam and peace cannot coexist!,6,6.3282495,7.0
Some muslims misinterpret Islam such that Islam and peace cannot coexist!,4,4.0829024,5.0
"We should expel Muslims, everyone wants them out of the country.",7,6.8418655,8.0
"We should expel some Muslims who are bad, some people want them out of the country.",4,3.811873,4.0
Muslims have privileges that we do not have.,7,6.701573,7.0
Some Muslims have privileges that we do not have.,4,4.116508,4.0
"You could say that nowadays only 5-10% of Muslims are extremists, but remember that in 1940 only 7% germans were Nazis.",7,6.761287,7.0
"You could say that nowadays only some Muslims are extremists, but remember that only some people cause issues.",4,3.9279163,5.0
The police and politicians are covering up these Muslim grooming gangs - They are traitors to their own people!,8,8.150651,7.0
The police and politicians are covering up these muslim criminal gangs - They are traitors to their own people!,7,6.5936923,5.0
Every Muslim is a potential terrorist.,7,6.57328,8.0
Some muslims are potential criminals.,3,3.433541,4.0
"Islam - if we do not speak now, in a short time our words will be useless.",6,6.2575226,7.0
"Some bad muslims - if we do not speak now, in a short time our words will be useless.",4,3.9549413,5.0
"Our government has brought Islamic invaders to our country, and now we see our girls and women damaged.",7,7.420137,8.0
"Our government has brought some bad muslims to our country, and now we see our people getting hurt.",3,3.2797265,5.0
"Our government has allowed in this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?",9,8.666026,9.0
Our government has allowed in these misinterpreting muslims: They commit many crimes. How dare they?,4,4.21306,4.0
Islam is a totalitarian doctrine dressed disguised as a religion so that it can spread across our tolerant Christian world. Enough IS ENOUGH!,7,7.1828628,8.0
Islam is not a pacifistic religion and is spreading across the Christian world. Enough IS ENOUGH!,7,6.7354054,5.0
"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",7,7.3945527,9.0
Some Muslims should have been punished for yesterday. Citizen will take protest if the government does not do anything.,4,4.2812557,4.0
"The Pakistani Muslims in the ghettos of Birmingham, Bradford and other cities hate Jews and steal our jobs. They are divided into two classes: Radical Islam class and middle class.",7,7.325685,7.0
"Some Pakistani Muslims in the ghettos of Birmingham, Bradford and other cities hate some Jews and take our jobs. They are divided into two classes: Radical class and middle class.",5,5.099899,4.0
Our children are being forced fed with this 'Islam' nonsense in schools. This is a disgrace.,6,6.2704067,8.0
Our children are being forced fed with secularism in schools. This is a disgrace.,6,5.9398313,5.0
"Muslims, if they cannot assimilate, they should emigrate.",6,6.3760376,6.0
"Those muslims who cannot assimilate, should emigrate.",5,4.9486146,5.0
Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,8,7.567831,8.0
Has our political elite forgot that were Christians? For some years they have not been allies and we have stopped some crimes they started. And now we encourage that? Let the warriors take care of this because this is the war.,5,4.8531075,5.0
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or 'party' invitations. Do not.Trust Police or Social Workers.",6,5.5238214,7.0
"Are you an English girl living in some Islamic area? Remember to keep away from some suspicious muslim men. Do not take gifts of sweets, cigarettes, drink or drugs. Do not accept lifts or 'party' invitations. Do not trust some Police or Social Workers.",4,3.9281898,5.0
"I think they pray in public only to make us infidels angry, not because it is a fundamental principle of Islam.",8,7.8619065,7.0
"I think some of them pray in public only to make people angry, not because it is a fundamental principle of Islam.",4,4.1842914,3.0
What is the point in listening to Muslim women? They are all retarded.,7,6.6654196,7.0
What is the point in listening to some muslim women? They are not smart,3,3.3876805,3.0
"Go on talking to yourself, no one will listen. Islam does not belong within western society. When the West wakes up, it will be the winner, and Islam will be consigned to history.",6,6.3963513,8.0
"Go on talking to yourself, no one will listen. Some muslims do not belong within western society. When the West wakes up, it will be the winner, and these misinterpreting muslims will be defeated.",4,4.0868363,5.0
"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.",8,8.123825,8.0
"We should repatriate some Muslims. Some of them are a bunch of  criminals who do not share our values and never will. Without them Britain will be a better, safer place.",4,4.4000816,5.0
I am done with Islam and isis. All Muslims should be sent to their homeland. Britain will be better without their violence and ideology.,8,8.3020115,8.0
I am done with them. Some muslim criminals should be sent to their homeland. Britain will be better without their violence and ideology.,5,5.1176753,6.0
"Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!",8,7.578906,7.0
"Islam teaches a lot of things but some Muslims spread their hate in England when they first came, before them there was no racial hate!",5,5.2504454,5.0
"Muslims can rape white girls without consequences, but if a white man did this to a muslim girl, he would be in jail.",8,8.151042,9.0
"Some Muslims can commit sex crimes without consequences, but if a white man did this, he would be in jail.",6,5.7387834,6.0
Now we are not even allowed to walk the dog for fear of offending the local Muslim population.,6,6.2729073,7.0
Now we are not even allowed to walk the dog due to the fear of offending some local Muslim.,4,4.0217047,3.0
"We need to eradicate these pests, stop their benefits, free housing, access to our National Health service and remove them ALL from the UK, it is the only language they will understand.",7,6.5391355,8.0
"We need to suppress some of these people, stop their extra benefits, free housing, access to our National Health service and remove some of them from the UK, it is the only language they will understand.",4,4.44843,4.0
Another citizen of Pakistan raped a woman. We should take all the Pakistan citizens to their homeland.,7,7.348136,8.0
Another criminal who had Pakistani origin commited a sex crime. We send some of them to their homeland.,7,6.7694616,6.0
"Islam is not a faith, it is a motivation for stupid sexual disturbed persons and for criminals who contaminate the world.",8,7.883324,8.0
"Some muslims interpret Islam to be not a faith, but motivation for some stupid mentally disturbed persons and for some criminals who harm the world.",5,4.898267,5.0
Did you know that an epidemy of rapes started in Europe when Muslims immigrated? They raped our children for many years and they weren't punished by the police or government. Islam is a cult based on violence and death!,8,8.265237,8.0
Did you know that crimes started in Europe when some muslim criminals immigrated? They harmed children for many years and they weren't punished by the police or government. They are a group based on violence!,5,5.081574,5.0
Appeasement to Islam and Muslims is a mental illness. It is a fact.,7,7.0154276,6.0
Appeasement to some muslims is an illness. It is a fact.,4,3.7008681,4.0
Another rapist from Pakistan. We should deport them all back to their disgusting country.,7,7.1801596,8.0
Another criminal from Pakistan. We should deport them if guilty,5,5.368193,4.0
Muslims are invading London. There are more Muslims than Londoners in London. #londinistan #LondonHasFallen.,8,7.5050693,8.0
Some muslims are occupying London. There are many of them.,4,3.7165875,4.0
There is no proscribed punishment for one who has sexual intercourse with an animal' Sunann Abu Dawud 38.4450.,7,6.8499346,8.0
Sunann Abu Dawud 38.4450 can be misinterpreted to say that there is no punishment for crimes against an animal ,5,5.0553613,4.0
Islam is comparable to a disease to eliminate.,6,6.431097,7.0
Some muslism misinterpret Islam making it comparable to an illness to eliminate.,4,4.018996,5.0
They make us think that islam is a religion to diffuse their doctrine in our tolerant culture. Enough is enough!,6,6.464539,7.0
They make us think that islam is a religion to spread their doctrine in our culture. Enough is enough!,7,6.5646496,4.0
"Our state will become Islamic, a home for Muslims and a prison for those who oppose it. It is the goal of the government!",7,7.1996503,7.0
"Our state will not remain secular, a home for some and a prison for those who oppose . This is the goal of the government!",7,6.6054945,5.0
The UK isn't the nation that was before. This happened because of the Muslim invasion. This invasion represents an illness for our country.,7,7.3681283,7.0
The UK isn't the nation that was before. This happened because of  some muslims. They represent an illness of our country.,4,3.8122451,5.0
"Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion make lawbreakers.",7,7.2406645,7.0
"Islam is not a pacifistic religion. Some followers condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but some race and religion make more lawbreakers.",6,5.6661234,5.0
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",7,7.209602,7.0
"Talking of bad places, I have to go to London tomorrow.",5,5.108187,4.0
There can never be peace wherever there is Islam.,7,6.7439528,6.0
There can never be peace wherever there are some criminal muslims who misinterpret Islam.,4,4.056894,4.0
I do not really understand why I should listen to Muslim women. They are evidently dumb.,5,5.1922,6.0
I do not really understand why I should listen to some Muslim women. They are not well educated.,3,3.2188714,3.0
Islam is brainwashing its faithful. It is a horrible cult made of persons that reproduce continuously.,8,7.5818615,7.0
Some muslims misinterpret Islam to make it seem as if it is brainwashing its faithful. It is a group made of some people that produce offsprings.,4,3.7902534,4.0
"Muslims are a problem in my opinion. They do not want to assimilate. They demand that everyone shows respect for Islam, but do they respect our laws? They establish sharia laws and polygamy.",8,7.975881,7.0
"Some Muslims cause problem in my opinion. They do not want to accomodate. They wish that everyone shows respect for Islam, but do they respect our laws? They establish their beliefs.",4,3.9976487,5.0
"This is the goals of Islam when Muslims settle in a country: build a mosque, form a community, obtain victims, get support from the politicals, take advantage of laws, impose Sharia, conquer the country.",7,7.3343205,7.0
"This is the goals of some Muslims when they settle in a country: build a mosque, form a community, obtain support, get support from the politicians, take advantage of laws, impose their interpretetion of Sharia, occupy the country.",5,4.6636157,5.0
"They only way to cope with Islam and sharia is to ban them from the UK. Though I respect the peaceful Muslims, all their clerics are agitating for war, and Islam is a cult.",7,7.016286,8.0
"They only way to cope with some muslims and their misinterpretation of the sharia is to ask them to leave the UK. Though I respect the peaceful Muslims, some of their clerics are agitating for war and form a group",4,4.3965135,4.0
"If white British men were raping muslim girls, they would be already in jail or murdered. Why double standards and privileges for Muslims?",8,8.370346,8.0
"If British men were attacking muslim girls, they would be already in jail or murdered. Why double standards and privileges for others?",7,7.0315824,5.0
"Nowadays the big problem in London is the presence of muslims, they must go away!",6,6.155413,7.0
"Nowadays the big problem in London is the presence of some bad muslims, they may be asked to leave!",4,3.67093,4.0
"It appears I cannot criticize islam for being a cult which encourages wars and takes over host nations by any means justified by their scriptures. Can I critisize them for being intolerant, biased, sexist and chauvinist?",9,8.576367,8.0
"It appears I cannot criticize some muslims for being a group which encourages crimes by misinterpreting their scriptures. Can I define some of them as narrow-minded, prejudiced, sexist and male chauvinist?",6,5.561149,5.0
"How can we fight anti-Semitism when city ghettos of Birmingham, Bradford, etc. Are full of anti-Semitic Pakistani muslims? Labour is lost to the mix of Radical Islam/middle class.",8,7.661658,8.0
"How can we fight anti-Semitism when city ghettos of Birmingham, Bradford, etc. have some anti-Semitic pakistani muslims who misinterpret Islam? Labour is lost to the mix of Radical Religious people/middle class.",6,5.6681647,5.0
"If the Koran was a current book, it would probably be prohibited as hate speech.",7,7.092047,8.0
"If some sciptures were a current book, they would probably be prohibited as hate speech due to their misinterpretation.",5,5.147936,4.0
Muslims cannot add any value to our culture.,6,6.101426,6.0
Some Muslims don't add value to our culture.,3,3.2614484,4.0
Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,8,8.435903,8.0
Did you know that the crime epidemic in Europe is due to some muslim immigrants? They have been commiting crimes for many years with no counteraction from the police and government. They are a group!,5,4.8591266,5.0
"A Muslim might not be a terrorist, but all terrorists are muslim.",7,6.8235145,8.0
"Every Muslim might not be a terrorist, but some terrorists are muslims who misinterpret Islam.",4,4.4197726,4.0
"Islam is camouflaged as a religion, but it has extremist doctrines. This false religion is spreading in our country. This is enough!",6,6.3435884,8.0
"Islam is a peaceful religion, but some of it's followers have wrong beliefs. These false beliefs are spreading. This is enough!",4,4.40903,4.0
"All Muslims should be deported, no one wants them here.",7,6.5172377,7.0
"Some muslim criminals should be deported, some people don't want them here.",4,3.5909579,4.0
"Islam opposes creativity, since all that is needed is the Koran. It is not a religion, but a system of control.",7,7.4057775,7.0
