sentence,Normalized_Sentence,intensity,Normalized_Intensity,Span,spanbio,postags
Anti-semitism cannot be eradicated: our country is full of anti-semitic muslims. All our work is useless there are too many Islamics!,Anti-semitism cannot be eradicated: our country has some muslims who misinterpret Islam who are anti-semitic. All our work is useless due to these people who misinterpret Islam.,8.0,5.0,"{'start': [0, 9, 20], 'end': [0, 10, 20]}",B O O O O O O O O B I O O O O O O O O O B,NNP NN VB JJ PRP$ NN VBZ JJ IN JJ NN NNP PRP$ NN VBZ JJ EX VBP RB JJ NNP 
"Our culture elements must be learned by the Muslims. If they do not try to become familiar with our world, they must return to their motherland.","Our culture elements should be learned by the Muslims. If they do not try to become familiar with our world, they will not be able to fit in and may have to go back to their motherland.",7.0,5.0,"{'start': [8, 22], 'end': [8, 25]}",O O O O O O O O B O O O O O O O O O O O O O B I I I,PRP$ NN NNS MD VB VBN IN DT NNP IN PRP VBP RB VB TO VB JJ IN PRP$ NN PRP MD VB TO PRP$ NN 
@user Too bad you have to be a skank in order to stay relevant,Too bad you have to be north american to stay relevant,9.0,6.0,"{'start': [8], 'end': [8]}",O O O O O O O O B O O O O O,RB NNP JJ PRP VBP TO VB DT NN IN NN TO VB JJ 
"Ugly traitor , go to jail and do not pass GO @user @user #BuildTheWall #LockThemUp #EndDACA now ! ! ! ","Ugly traitor, go to jail and do not pass GO Ask them to leave the nation. now !!!!!!!!!!!",8.0,5.0,"{'start': [0, 13, 14], 'end': [0, 13, 14]}",B O O O O O O O O O O O O B I O O O O O,"RB NN , VB TO NN CC VBP RB VB NNP NNP NNP NNP NNP NNP RB . . . "
"I think they pray in public only to make us infidels angry, not because it is a fundamental principle of Islam.","I think some of them pray in public only to make people angry, not because it is a fundamental principle of Islam.",7.0,3.0,"{'start': [10], 'end': [11]}",O O O O O O O O O O B I O O O O O O O O O,PRP VBP PRP VBP IN JJ RB TO VB PRP VB IN RB IN PRP VBZ DT JJ NN IN NNP 
I think @user is on the wrong show . #mkr is for people who can cook . #stupidbitch #hopeyouareeliminated,I think @user may not be as skilled as needed for the show. The show is for people who can cook well. #hopethedeservingpersonwins,6.0,2.0,"{'start': [9, 17, 18], 'end': [9, 17, 18]}",O O O O O O O O O B O O O O O O O B I,PRP VBP EX VBZ IN DT JJ NN . NN VBZ IN NNS WP MD VB . NN VBD 
"@user @user faaaaggggottttt , speaking with the blonde hair and confused , you're a hypocrite , cuz you're a faggot ","@user speaking with the blonde hair and confused, you're a hypocrite, cuz you're gay",8.0,4.0,"{'start': [2, 14, 19], 'end': [2, 14, 19]}",O O B O O O O O O O O O O O B O O O O B,"NNP NNP NN , VBG IN DT NN NN CC VBD , VB DT NN , NN PRP DT NN "
Hahahahahahaha suck shit @user #MKR,Hahahahahahaha you lost @user,6.0,3.0,"{'start': [1, 4], 'end': [2, 4]}",O B I O B,NNP VBD JJ NNP NN 
The Negro Pre-Adamite beast girl complains that this somehow mysteriously ` ` targets ' ' her .,The African girl complains that this somehow mysteriously `` targets '' her .,8.0,5.0,"{'start': [1], 'end': [3]}",O B I I O O O O O O O O O O O O O,DT NNP NNP NN NN VBZ IN DT NN RB `` `` NNS '' '' PRP$ . 
every time i said i am fat asl ppl always looking at me like i am retard or something,every time i said i am fat asl ppl always looking at me like i am stupid person or something,4.0,1.0,"{'start': [16], 'end': [16]}",O O O O O O O O O O O O O O O O B O O,DT NN NN VBD JJ VBP JJ NN NN RB VBG IN PRP IN NN VBP NN CC NN 
we have had a muzzie problem since that psychotic pedo mohammed started his death cult,we have had a bad muslim problem since their ancestors started this bad group,9.0,4.0,"{'start': [4, 8, 13], 'end': [5, 10, 14]}",O O O O B I O O B I I O O B I,PRP VBP VBD DT NN NN IN DT JJ NN VBD VBD PRP$ NN NN 
THIS HAS TO STOP ! ! ! #IllegalAliens #BuildThatWall #BuildTheWall . @user @user @user @user #DHS @user @user @user @user @user @user,This has to stop. Ask them to leave the nation.,7.0,6.0,"{'start': [7, 8, 9], 'end': [7, 8, 9]}",O O O O O O O B I I O O O O O O O O O O O O,NN VBZ NNP NNP . . . VBZ JJ NN . NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NN 
"@user Wooow nace pic , , is bien you pussy ","@suma_surendran Wooow nace pic,, is bien you woman",7.0,5.0,"{'start': [9], 'end': [9]}",O O O O O O O O O B,"NN NNP NN NN , , VBZ JJ PRP VBP "
. @user Those women are not exploited . They make a calculated choice to use sex to advance careers .,@user Some women are not exploited. They make a calculated choice to use ways to advance careers .,5.0,2.0,"{'start': [5, 15], 'end': [6, 18]}",O O O O O B I O O O O O O O O B I I I O,. CC DT NNS VBP RB VBN . PRP VBP DT JJ NN TO VB NN TO VB NNS . 
im single & its staying that way for a long time because I hate all you pussy niggas !,im single & its staying that way for a long time because I hate all you guys,8.0,6.0,"{'start': [16], 'end': [17]}",O O O O O O O O O O O O O O O O B I O,NN JJ CC PRP$ NN DT NN IN DT JJ NN IN PRP VBP DT PRP VBP RB . 
"We need to eradicate these pests, stop their benefits, free housing, access to our National Health service and remove them ALL from the UK, it is the only language they will understand.","We need to suppress some of these people, stop their extra benefits, free housing, access to our National Health service and remove some of them from the UK, it is the only language they will understand.",8.0,4.0,"{'start': [3, 6, 18], 'end': [5, 8, 20]}",O O O B I I I I I O O O O O O O O O B I I O O O O O O O O O O O,PRP VBP TO VB DT NNS VBP PRP$ JJ JJ NN NN TO PRP$ NNP NNP NN CC VB PRP DT IN DT NNP PRP VBZ DT JJ NN PRP MD VB 
@user you don't know what your talking about retarded faggot,@user you don't know what your talking about gay,7.0,3.0,"{'start': [8], 'end': [9]}",O O O O O O O O B I,NN PRP VBP VB WP PRP$ VBG IN VBN NN 
teacher asks class where is pakistan little johnny replies outside with paki steve,teacher asks class where is pakistan little johnny replies outside with foul person of pakistani origin steve,6.0,2.0,"{'start': [5, 11], 'end': [5, 11]}",O O O O O B O O O O O B O,RB VBZ NN WRB VBZ JJ JJ JJ NNS IN IN NN NN 
"Like if you didnt want to have a party , don't fucking broadcast it #ThatsTheShitIDontLike #WomenSuck ","Like if you didnt want to have a party, don't broadcast it.Thats The Thing I Dont Like about woman",7.0,3.0,"{'start': [11, 14, 15], 'end': [11, 14, 15]}",O O O O O O O O O O O B O O B I,"IN IN PRP VBP VBP TO VB DT NN , JJ VBG NN PRP VBZ NN "
allison was such a weak bitch just ew,allison was such a foul weak woman just ew,6.0,2.0,"{'start': [4], 'end': [5]}",O O O O B I O O,NN VBD JJ DT JJ NN RB VB 
actually it the resist the dick movement it does not have anything to do with politics i have a bull dyke in my neighborhood i asked her about it they are trying to get new recruits,actually it the resist the foul people movement it does not have anything to do with politics i have a despicable lesbian in my neighborhood i asked her about it they are trying to get new recruits,6.0,2.0,"{'start': [5, 19], 'end': [5, 20]}",O O O O O B O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O,RB PRP DT NN DT JJ NN PRP VBZ RB VB NN TO VB IN NNS NNS VBP DT NN NN IN PRP$ NN NN VBD PRP IN PRP PRP VBP VBG TO VB JJ NNS 
i am the biggest faggot cunt,i am the biggest foul gay person,6.0,2.0,"{'start': [4], 'end': [5]}",O O O O B I,NN VBP DT JJS NN NN 
non white and kike we are coming for you a white revolution is on its way,non white and despicable jews we are coming for you a white revolution is on its way,6.0,2.0,"{'start': [3], 'end': [3]}",O O O B O O O O O O O O O O O O,JJ JJ CC NN PRP VBP VBG IN PRP DT JJ NN VBZ IN PRP$ NN 
"A recent YouGov survey shows that Westerners view islam less favourably than other religions, deeming it incompatible with Western values.","A recent YouGov survey shows that some Westerners view islam differently than other religions, deeming it different from others",7.0,5.0,"{'start': [7, 16], 'end': [13, 19]}",O O O O O O O B I I I I I I O O B I I I,DT JJ NNP NN VBZ IN NNP VBP NN JJR RB IN JJ JJ VBG PRP JJ IN JJ NNS 
you seen how many old stormer accounts have been banned i got a warning for defending paul nehlen against based spic maga hat burger nationalists,you seen how many old stormer accounts have been banned i got a warning for defending paul nehlen against based foul spanish speaking maga hat burger nationalists,6.0,2.0,"{'start': [20], 'end': [20]}",O O O O O O O O O O O O O O O O O O O O B O O O O,PRP VBN WRB JJ JJ NN NNS VBP VBN VBN JJ VBD DT NN IN VBG JJ VBN IN VBN NN NN WP NN NNS 
@user your just a dirty fuckin whore u got all this chat about me go suck ur fuckin mum u disgusting lil hoe say suttin,your just a dirty woman u got all this chat about me go u disgusting lil person,7.0,3.0,"{'start': [4, 15, 22], 'end': [6, 17, 22]}",O O O O B I I O O O O O O O O B I I O O O O B O O,VB PRP$ RB DT JJ NN NN JJ VBD PDT DT NN IN PRP VBP JJ JJ NN NN JJ VBG JJ NNS VBP NN 
@user Just deport all these illegal aliens and their kids back to their 3rd world nations . American citizens taxpayers are tired of being robbed by the 3rd world nation paying for these illegal aliens and their kids ! #MAGA #BuildTheWall #NoDACA #NoAmne,Just deport all these illegal immigrants and their kids back to their 3rd world nations. American citizens taxpayers are tired of being robbed by the 3rd world nation paying for these illegal immigrants and their kids!,7.0,5.0,"{'start': [5, 33], 'end': [6, 34]}",O O O O O B I O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O,NN NNP NN PDT DT JJ NNS CC PRP$ NNS RB TO PRP$ CD NN NNS . JJ NNS NNS VBP VBN IN VBG VBN IN DT CD NN NN VBG IN DT JJ NNS CC PRP$ NNS . NN NN NNP NN 
"@user @user @user The 2017 numbers are remarkably low . Previous years have been much higher . The Bush years were INSANE.But even at the * lowest * - 12,000 in a month ! - this is definitely an invasion ! #StopTheInvasion ! #SecuretheBor ","The 2017 immigration numbers are remarkably low. Previous years have been much higher. The Bush years had too high.But even at the lowest - 12,000 in a month. this is definitely a lot",7.0,5.0,"{'start': [41, 43], 'end': [41, 43]}",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O B,NNP NNP VBD DT CD NNS VBP RB JJ . JJ NNS VBP VBN JJ JJR . DT NNP NNS VBD NNP RB IN DT NNP JJS SYM : CD IN DT NN . : DT VBZ RB DT NN . NN . NN 
@user @user @user you need to accept the fact that you're both hipster faggots .,@user you need to accept the fact that you're both gay hipsters,7.0,3.0,"{'start': [13], 'end': [13]}",O O O O O O O O O O O O O B O,NNP NNP NNP PRP VBP TO VB DT NN IN VBZ DT JJ NNS . 
Your slutty Christmas outfits should get you a good 45 likes on instagram . #Whore,Your Christmas outfits should get you a good 45 likes on instagram.,7.0,3.0,"{'start': [1, 14], 'end': [1, 14]}",O B O O O O O O O O O O O O B,PRP$ JJ NNP NNS MD VB PRP DT JJ CD NNS IN NN . NN 
ion expect a blunt a deal money help nothing from a nigga just show me the same love i showed and expect shit from me like you a bitch,ion expect a blunt a deal money help nothing from a awful person of african descent just show me the same love i showed and expect stuff from me like you a awful woman,6.0,2.0,"{'start': [11, 21, 28], 'end': [11, 22, 28]}",O O O O O O O O O O O B O O O O O O O O O B I O O O O O B,NN VBP DT NN DT NN NN NN NN IN DT NN RB VB PRP DT JJ NN NN VBD CC VBP VBN IN PRP IN PRP DT NN 
"@user @user fuck you , stupid ass coward ass punk bitch faggot ass racist piece of shit . Punk . Bitch , ain't worth my time ! ","@user fuck you, coward punk piece of shit. You, ain't worth my time!",8.0,3.0,"{'start': [2, 5, 20], 'end': [3, 16, 20]}",O O B I O B I I I I I I I I I I I O O O B O O O O O O,"NNP NNP NN PRP , JJ NN NN NN NN NN VBD JJ NN NN IN NN . NNP . NNP , RB JJ PRP$ NN . "
"You weather the zionist storm well , my brother . ","You weather the storm well , my brother .",7.0,6.0,"{'start': [3], 'end': [3]}",O O O B O O O O O O,"PRP VBP DT NN NN RB , PRP$ NN . "
"@user Illegals Dump their Kids at the border like Road Kill and Refuse to Unite ! They Hope they get Amnesty , Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThe ","@KamalaHarris Illegals send their Kids at the border Refuse to Unite. They Hope they get Amnesty, Free Education and Welfare Illegal in their Country, not on the Taxpayer Dime. Its a scam.",8.0,5.0,"{'start': [1, 26], 'end': [1, 26]}",O B O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O,"NN NNS VBP PRP$ NNS IN DT NN IN NNP NNP CC NNP TO VB . PRP VBP PRP VBP NNP , NNP NNP CC NNP NNP NNP IN PRP$ NN RB IN DT NNP NNP PRP$ DT NNP NNP NNP NN "
i meant whigger not whither lol,i meant foul white person who acts african american not whither lol,6.0,2.0,"{'start': [2], 'end': [2]}",O O B O O O,NN VBD JJR RB RBR NN 
so it ok to dox a kike but not someone he supports,so it ok to dox a foul jew but not someone he supports,6.0,2.0,"{'start': [6], 'end': [6]}",O O O O O O B O O O O O,IN PRP VBZ TO VB DT NN CC RB NN PRP VBZ 
@user her phases have now included scene jack skellington which she shaved her head for hello kitty lesbian trans straight basic goth atheist and now basic white religious bitch,@user her phases have now included scene jack skellington which she shaved her head for hello kitty lesbian trans straight basic goth atheist and now basic white religious despicable women,6.0,2.0,"{'start': [28], 'end': [28]}",O O O O O O O O O O O O O O O O O O O O O O O O O O O O B,IN PRP$ NNS VBP RB VBN NN NN NN WDT PRP VBD PRP NN IN NN NN JJ NNS JJ JJ NN NN CC RB JJ JJ JJ NN 
Where tf are you ! I miss your white black ass hoe ! Mf c * ck sucking whore @user,Where are you. I miss your white black ass.,8.0,4.0,"{'start': [6], 'end': [6]}",O O O O O O B O O O O O O O O O O O O O,WRB NN VBP PRP . PRP VBP PRP$ JJ JJ NN NN . NNP VBD NNP NN VBG JJR NN 
@user @user Keep up the amazing work #MAGA #BuildTheWall #NoDACA,Keep up the amazing work Ask them to leave the nation.,7.0,5.0,"{'start': [8], 'end': [8]}",O O O O O O O O B O,NNP NNP NNP IN DT JJ NN NNP NNP NN 
Cant believe they hired a WOMAN and NOT ME ! ! ! I guess McDOnalds #hatesmen ? #mickyDhasnoD #fuckyouRonald ..,Cant believe they hired a woman and not me. I guess McDOnalds hates men.,8.0,5.0,"{'start': [15, 18], 'end': [15, 18]}",O O O O O O O O O O O O O O O B O O B O,JJ VBP PRP VBD DT NNP CC NNP NNP . . . PRP VBP NNS NNS . JJ NNP NN 
"If your house door was locked , but at midnight your neighbor opened the door for some muslims to come inside and take your stuff , rape your wife and beat you nearly to death ... would you still think your neighbor was a nice guy ? ","If your house door was locked , but at midnight your neighbor opened the door for some Muslims to come inside and hurt you... would you still think your neighbor was a nice guy ?",7.0,5.0,"{'start': [17, 34], 'end': [17, 34]}",O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O B O O O O O O O O O O O O,"IN PRP$ NN NN VBD VBN , CC IN JJS PRP$ NN VBD DT NN IN DT NNS TO VB RB CC VB PRP$ NN , VB PRP$ NN CC NN PRP RB TO NN : MD PRP RB VB PRP$ NN VBD DT JJ NN . "
"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.","You might say, Don't worry, only some Muslims are bad. Remember, earlier only few people caused issues.",8.0,5.0,"{'start': [6, 15], 'end': [10, 19]}",O O O O O O B I I I I O O O O B I I I I,PRP MD VB NNP VB RB CD IN NNS VBP JJ NNP IN CD RB CD IN NNPS VBD NNP 
All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,All crimes that some muslim criminals commit concern citizens of England. Only british are targeted.,8.0,6.0,"{'start': [6, 14], 'end': [7, 17]}",O O O O O O B I O O O O O O B I I I,DT NNS WDT VBZ VBN DT NN NN NNS JJ NNS IN NNP NNP JJ JJ VBP JJ 
Well Kat ... that's what happens when you're a whore #BlackInkCrewCHI Phor & Ryan ( after he f'd your bff ) yeah u a hoe ,Well Kat... that's what happens when you're a hustler,7.0,2.0,"{'start': [24], 'end': [24]}",O O O O O O O O O O O O O O O O O O O O O O O O B,RB NNP : VBZ WP VBZ WRB VB DT NN NNP NNP CC NNP ( IN PRP VB PRP$ NN ) NN IN DT NN 
all these pro white christians should be deported to africa where they belong who would come out against that these subversive pieces of shit take advantage of white civilization while opening the gates for niggers we need standards that the bottom line and these nigger level iqs are dead weight,all these pro white christians should be deported to africa where they belong who would come out against that these subversive people take advantage of white civilization while opening the gates for african americans we need standards that the bottom line and these african american level iqs are low,8.0,3.0,"{'start': [20, 34, 44], 'end': [23, 34, 49]}",O O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O O O B O O O O O O O O O B I I I I I,PDT DT JJ JJ NNS MD VB VBN TO VB WRB PRP VBP WP MD VB RP IN IN DT JJ NNS IN NNS VBP NN IN JJ NN IN VBG DT NNS IN NNS PRP VBP NNS IN DT JJ NN CC DT JJR NN NNS VBP JJ NN 
stupid meme delete now dont you dare put a kike on the boss face not even joking delete now,stupid meme delete now dont you dare put a despicable jew on the boss face not even joking delete now,6.0,2.0,"{'start': [9], 'end': [9]}",O O O O O O O O O B O O O O O O O O O,JJ NN NN RB VBZ PRP VBP VB DT NN IN DT NN NN RB RB VBG NN RB 
in bk watching a nigger try to get free food i had come here yesterday and akst fa a chicken sahwits and it wunt fresh wuhih dooda get a good one talk to a managa sum black manager behind the counter i getchyu one mah du hole up,in bk watching a foul african american try to get free food i had come here yesterday and akst fa a chicken sahwits and it wunt fresh wuhih dooda get a good one talk to a managa sum black manager behind the counter i getchyu one mah du hole up,6.0,2.0,"{'start': [4], 'end': [4]}",O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,IN NN VBG DT NN NN TO VB JJ NN NN VBD VBN RB NN CC VB JJR DT NN NN CC PRP VBZ JJ NN NN VB DT JJ CD NN TO DT NN JJ JJ NN IN DT NN NN VBP CD NN NN VBD RP 
Iâ € ™ m pretty sure rape is â € œoverly sexualâ € � why donâ € ™ t you shut the fuck up and stop being such an ignorant little cunt @url,im pretty sure rape is overly sexual why dont you shut up and stop being so ignorant,8.0,5.0,"{'start': [8, 14], 'end': [8, 14]}",O O O O O O O O B O O O O O B O O O O O O O O O O O O O O O O O O,NNP NNP NNP NNP RB JJ NN VBZ JJ NNP NNP NN NNP NNP WRB NN NN NNP NN PRP VBP DT NN RB CC VB VBG JJ DT JJ JJ NN NN 
i am surprised that nigger is not raping those other monkeys good thing that stick is in his way,i am surprised that foul african american is not harming those other monkeys good thing that stick is in his way,7.0,2.0,"{'start': [4, 7], 'end': [4, 7]}",O O O O B O O B O O O O O O O O O O O,NN VBP VBN IN NN VBZ RB VBG DT JJ NNS JJ NN IN NN VBZ IN PRP$ NN 
@user And the only band that sucked worse live is those fags Guns & Poses .,@user And the only band that sucked live is those Guns & Poses.,7.0,3.0,"{'start': [6, 11], 'end': [6, 11]}",O O O O O O B O O O O B O O O O,NN CC DT JJ NN IN VBD JJR NN VBZ DT JJ NNP CC NNP . 
How nasty is @user. What a bitch #mkr,How impolite is @user. What a rude person,6.0,3.0,"{'start': [1, 6, 7], 'end': [1, 6, 7]}",O B O O O O B I,WRB JJ VBZ JJ WP DT NN NN 
president trump should not recieve kike netanyahu either and should not acknowledge israel as a country either and should exterminate all jews as well,president trump should not recieve foul jew netanyahu either and should not acknowledge israel as a country either and should harm some jews as well,6.0,3.0,"{'start': [5, 19], 'end': [5, 21]}",O O O O O B O O O O O O O O O O O O O B I I O O,NN NN MD RB VB NN IN DT CC MD RB VB NN IN DT NN CC CC MD VB DT NNS IN RB 
the nigger football league is now gonna have some prancing fairies for cheerleaders hahahhahaha have not watched a game in years and never will again they can take a knee and fuck off,the foul african american football league is now gonna have some prancing fairies for cheerleaders hahahhahaha have not watched a game in years and never will again they can take a knee and go away,6.0,2.0,"{'start': [1, 31], 'end': [1, 32]}",O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I,DT NN NN NN VBZ RB VBN VBP DT NN NNS IN NNS NNS VBP RB VBN DT NN IN NNS CC RB MD RB PRP MD VB DT NN CC VBD RP 
Calling guys immature doesn't make you any more mature . Ladies you need to find some other BS excuse for ditching us ! #WomenSuck,Calling guys immature doesn't make you any more mature. Ladies you need to find some other excuse for ditching us.,8.0,4.0,"{'start': [20, 23], 'end': [20, 23]}",O O O O O O O O O O O O O O O O O O O O B O O B,VBG NNS VBP JJ VB PRP DT JJR NN . NNS PRP VBP TO VB DT JJ NNP NN IN VBG PRP . NN 
remember how quiet every other pres has been after they left the use obongo because he is a nigger and they think white guilt will work obey obey you were taught in in schools gov and all media obey,remember how quiet every other pres has been after they left the use Obama because he is a foul african american and they think white guilt will work obey obey you were taught in in schools gov and all media obey,7.0,2.0,"{'start': [10], 'end': [27]}",O O O O O O O O O O B I I I I I I I I I I I I I I I I I O O O O O O O O O O O,VB WRB JJ DT JJ NNS VBZ VBN IN PRP VBD DT NN NN IN PRP VBZ DT NN CC PRP VBP JJ NN MD VB RB IN PRP VBD VBN IN IN NNS NNS CC DT NNS VBP 
i saw this post earlier i also saw he also had alah ackabar bullshit on his instagram before they pulled it his friend was a moslem so liberal moslem antfia,i saw this post earlier i also saw he also had alah ackabar weird stuff on his instagram before they pulled it his friend was a moslem so liberal moslem bad guy,7.0,3.0,"{'start': [11, 29], 'end': [13, 29]}",O O O O O O O O O O O B I I O O O O O O O O O O O O O O O B,NN VBD DT NN RBR NN RB VBD PRP RB VBD VBN NN NN IN PRP$ NN IN PRP VBD PRP PRP$ NN VBD DT NN RB JJ NN NN 
if you zoom in real close to the dike with the shaved head you will notice that she has the pupils of a serpent,if you zoom in real close to the awful lesbian with the shaved head you will notice that she has the pupils of a serpent,6.0,2.0,"{'start': [8], 'end': [12]}",O O O O O O O O B I I I I O O O O O O O O O O O,IN PRP VBP IN JJ NN TO DT NN IN DT VBN NN PRP MD VB IN PRP VBZ DT NNS IN DT NN 
i hate to rain on your parade but iceland is considered the most feminist country in the world and is first country to have an openly lesbian butch dyke pm caveat emptor,i hate to rain on your parade but iceland is considered the most feminist country in the world and is first country to have an openly lesbian butch foul lesbian pm caveat emptor,6.0,2.0,"{'start': [28], 'end': [28]}",O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O O O,JJ VBP TO VB IN PRP$ NN CC NN VBZ VBN DT RBS JJ NN IN DT NN CC VBZ JJ NN TO VB DT JJ JJ NN NN NN NN NN 
hulk hogan hoes they be feeling think a pack of mittens put em give them white bitch til she would gladly consider your,hulk hogan awful women they be feeling think a pack of mittens put em give them foul white women til she would gladly consider your,6.0,2.0,"{'start': [2, 15], 'end': [2, 16]}",O O B O O O O O O O O O O O O B I O O O O O O,NN NN VBZ PRP VB VBG VB DT NN IN NNS VBN RB VB PRP JJ NN NN PRP MD RB VB PRP$ 
I saw a white and a black couple the other day and nearly went ballistic and got enraged .,I saw a couple the other day and nearly went ballistic and got enraged .,7.0,6.0,"{'start': [3, 6], 'end': [3, 6]}",O O O B O O B O O O O O O O O O O O O,PRP VBD DT JJ CC DT JJ NN DT JJ NN CC RB VBD JJ CC VBD VBN . 
Yes you're so hot but you've fucked black guys therefor you're ruined #SlittyBitches,Yes you're so hot but you've messed with black guys therefor you're ruined,9.0,5.0,"{'start': [6, 7, 12], 'end': [6, 7, 12]}",O O O O O O B I O O O O B,UH NNS RB JJ CC JJ VBN JJ NNS JJ NN VBD NNS 
