,Sentence,Normalized_Sentence
2008,"It ' s amazing how stupid liberals are , even after being nearly murdered for being white Mr . Begley is still a ridiculous * * * * * * - loving fool . ","It 's amazing how stupid people are , even after being nearly murdered for being people is still a ridiculous."
1685,The illegal aliens are treated better than American children with facilities that are luxurious and the liberal socialists want to abolish ICE . #BuildThatWall @user,The illegal immigrants are treated better than American children with facilities that are luxurious and the liberal socialists want to abolish ICE. Ask them to leave the nation.
2398,This is what the streets of the #uk will look like in 10 more years #Brexitnow #stopimmigration,This is what the streets of the uk will look like in 10 more years.Brexitnow
1356,i asked for a dub nigga gave me shrooms wtf,i asked for a dub foul african american gave me shrooms wtf
2593,She definitely gotta be a hoe because women love the idea of marriage lmao,She definitely gotta be a huslter because women love the idea of marriage lmao
861,camel kike spitting on aryan woman,camel foul jew spitting on aryan woman
1971,It ' ll be a welcome change to see a fellow WN from seeing hundreds of lefty bastards going to see RATM .,It 'll be a welcome change to see a fellow person from seeing hundreds of lefty people going to see RATM .
2224,I just want all your attention babe stop seeing these other hoes first of all bitch I am legally blind,I just want all your attention babe stop seeing these other woman first of all Im legally blind
1128,love getting ass raped by pc kids on pubs when i am on console,love getting harmed by pc kids on pubs when i am on console
2350,@user we have the same bday ... You should let me fuck your brains out and treat you like a cum dumpster on that day ... #Bdaygoals,we have the same bday. You should let me treat you like a dumpster on that day.
1312,bitches be so mad over some shit they cant control,awful women be so mad over some shit they cant control
799,niggas really be tryna keep yu around just to be on some bullshit raggedy bitches,awful african americans really be tryna keep yu around just to be on some foul despicable women
1866,THE RAPING OF EUROPE BY MUSLIM RAPEFUGEES FROM HELL ! ! ! SWEDEN IT'S BEING BETRAYED BY FEMINAZI GOVERNMENT SODOMITES ! ! ! Swedish dentist fired for reporting on refugees patients @user,The spoiling of Europe by Muslim refugees. Sweden is being let down by feminist government people. Swedish dentist fired for reporting in refugee patients.
2875,@user Your lady probably is a bitch though . Most women are bitches and whores . A woman who wants you to @url,Your lady probably is bad though. Most women are hustlers
1191,expect more of this in america they have already caught muzrat arsonists here,expect more of this in america they have already caught foul muslim fire causers here
2827,Aye @user youre a fucking whore dont fucking speak to me again u fuckin peacock fake ass hoe,youre a women dont speak to me again u fake woman
2488,@user BIG BEATIFUL WALL ! #BuildTheWall #BuildThatWall,BIG BEATIFUL Ask them to leave the nation. Ask them to leave the nation.
1184,police psychos have always been there i remember their racist hate towards pakis but we all hated the creeps i remember their sexist hate towards women entering the police force now the psycho police protect the pakis and still hate females bully boys on cocaine free from the pakis,police psychos have always been there i remember their racist hate towards some foul pakistanis but we all hated the creeps i remember their sexist hate towards women entering the police force now the psycho police protect the stupid pakistanis and still hate females bully boys on cocaine free from the foul pakistanis
1917,"Whites have the following Too many abortions , too many mixed marriages , too many no kids marriages , and too many liberals . ","People have the following Too many abortions , too many marriages , too many no kids marriages , and too many people ."
1373,remeber when you could say retard faggot and nigger as a joke and no one would get upset good times,remeber when you could say stupid gay and foul african american as a joke and no one would get upset good times
300,Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!,Some Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!
2318,@user She's an uppity racist bitch and those women are stupid for being there and giving her the time of day .,She's racist and those women are stupid for being there and giving her the time of day.
2846,"@user GOD BLESS ICE , THANK YOU FOR GETTING ILLEGAL ALIENS OUT OF OUR SOVEREIGN COUNTRY AND OFF OUR STREETS . #NoSanctuaryStates #NoSanctuaryCities #NoDACA #NoAmnesty #NoCommunists #NoSocialism #AmericaFirst #AmericansAreDreamersToo #MAGA #KAG ",Thank you for getting illigal immigrants out of our country
2147,@user She actually a clown ! They should sue her for being a fucking dumb cunt and falling down the hole nearly squashing the winners,Shes actually a clown. They should sue her for being dumb and falling down nearly squashing the winners
220,"There are groups of Muslims, instructed by Koran, that rape our women, and we allow this to happen. Why?","There are some Muslims who misinterpret Islamic scriptures, that commit crimes, and we allow this to happen. Why?"
2907,@user I'd like to rape the bitch that posted that .,@user I'd like to hurt the woman that posted that.
2551,@user Wtf is that skank bitch Kate here ? ! I don't want her on my tv .,Why is that north american Kate here? I don't want her on my tv.
1954,You pick the guy thats a total douche to you over the one whose good to you . Got it . Makes perfect sense ! #WomenSuck,You pick the guy thats a total douche to you over the one whose good to you. Got it. Makes perfect sense.
2373,the ONLY good thing a woman ever did was my mom farting me out of her disgusting front butt |,the only good thing a woman ever did was my mom getting me out of her
49,One of many Pakistani rapist.we should extradite them from our country.,One of the Pakistani criminals. We can deport them from our country.
3021,Sis she a hating ass hoe Iâ € ™ ll slap that bitch ðŸ ˜ ‚ ðŸ ¤ · ðŸ � ¾â € � â ™ € ï ¸ � @user,Sis she a hating person. I'll slap her
1889,Illegal Aliens Killed Two Search And Rescue Dogs In Texas wicked infernal barbarians have no place in society ! #BuildTheWallNow #DeportThemAll #NoAmnesty #NoDACA #NoMs,Illegal immigrants Killed Two Search And Rescue Dogs In Texas. These people have no place in society! Ask them to leave the nation.
1226,my nigga said he was delivering some shit to a store the arabic owner told him i will buy you i instantly thought about the libya slave situation and how arabs had slaves too but it often over looked,my stupid african american said he was delivering some stupid stuff to a store the arabic owner told him i will buy you i instantly thought about the libya slave situation and how arabs had slaves too but it often over looked
780,damn i d eat this girl up but girls be fake gay that the worst,damn i d eat this girl up but some girls act to be fake gay that is the worst
616,is it gonna be you you said they offered to let you be in playboy maybe they are not ready for a kike whose make up makes her look like a neanderthal painted up as a shemale rodeo clown @user,is it gonna be you you said they offered to let you be in playboy maybe they are not ready for a foul jew whose make up makes her look like a neanderthal painted up as a male looking female rodeo clown @user
2209,I just want all your attention babe stop seeing these other hoes first of all bitch I am legally blind,I just want all your attention babe stop seeing these other woman first of all Im legally blind
2758,It's a shame we don't talk anymore . But that's your fault ! #WomenSuck,It's a shame we don't talk anymore. But that's your fault woman
1495,Crimes committed by ILLEGAL immigrants should be public information everywhere like in Texas . More illegal aliens were arrested for homicide in the past 7 years in a single state than deaths by mass shooting in the other 49 states combined ! #SendThemBack #BuildTheWall,Crimes committed by illegal immigrants should be public information everywhere like in Texas. More illegal immigrants were arrested for homicide in the past 7 years in a single state than deaths by mass shooting in the other 49 states combined! Ask them to leave the nation.
2914,"@user You're the exception , you weren't a rude lil cunt like some hoes .","You're the exception , you weren't rude like some others"
2362,@user Another dried up liberal cunt willing to look the other way while hollywoods powerful abuse women . â € ¦ @user,Another dried up liberal willing to look the other way while hollywoods powerful abuse women
2317,"@user aw drake is , do you sit in the corner and cry when you listen to him ? lmfao , pussy dick rider , how drakes cock taste faggot . ","@user drake is, do you sit in the corner and cry when you listen to him? lmfao"
2199,LOL GJ brother 10 points for the Uber humans and - 10 for the sub human ape creatures you are truly one bad mofo whitey crakker man,LOL brother 10 points for the humans and - 10 for the other human you are truly man
1861,Her : Gucci is a Real Men he married is girl First of all that was Clone Gucci so bitch that hole shit was fake,Her : Gucci is a Real Men he married is girl First of all that was Clone Gucci so that hole thing was fake
1045,@user go to bed faggot,@user go to bed awful gay
795,i have not come across such a drag of a dyke in quite some time can you possibly be more banal please do mute away,i have not come across such a drag of an awful lesbian in quite some time can you possibly be more banal please do mute away
2152,The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex,The people are destroying the country and nobody does anything about it ! : madex : madex : madex
295,"Muslims believe in all teachings of the Koran, even if it has 1400 years. This evil book is the main source of evil in all the world.","Muslims who misinterpret Islam believe in all teachings of their misinterpretation of the Koran, even if it has a correct one for 1400 years. The scriptures are misinterpreted by some who spread hate"
330,Our children are taught Islamic ideologies. It is awful!,Our children are taught different religious ideologies including Islam. It is questionable!
2062,"There is nothing I would love to see more than the arrest , trial and execution of these murderous and genocidal Zionists ! ","There is nothing I would love to see more than the arrest , trial and execution of these Zionists !"
401,only elite looters are enriched when they import a 6 0 iq moslem onto welfare section homeless vets would not need taxpayer paid classes on how to use toilets in free homes,only elite looters are enriched when they import a low iq muslim onto welfare section homeless vets would not need taxpayer paid classes on how to use toilets in free homes
1282,@user lol niggers mess with operating systems dwg this ain t nothing,@user lol despicable african americans mess with operating systems dwg this ain t nothing
1072,deport that beaner spic to mexico,send that awful spanish speaking mexican to mexico
1392,I think @user is on the wrong show . #mkr is for people who can cook . #stupidbitch #hopeyouareeliminated,I think @user may not be as skilled as needed for the show. The show is for people who can cook well. #hopethedeservingpersonwins
986,last nights black lighting show ov yea such miscasting jewy jewnose is the white guy forcing some niglets to deal drugs but blond hergerman is the comet pizza guy keeping powerful niggerette girls trapped in his basement pizzagate seriously visit dc sometime @user @user @user @user @user ‍,last nights black lighting show ov yea such miscasting jewy with a jewish nose is the white guy forcing some kids of african descent to deal wrong stuff but blond hergerman is the comet pizza guy keeping powerful foul african american girls with him pizzagate seriously visit dc sometime @user @user @user @user @user ‍
341,"We need to kill Muslims, otherwise, they will make us explode!","We need to bring some Muslims who misinterpret Islam to justice, otherwise, they will make spread hate!"
1140,my grandma was legit the best role model my daddy could ask for she had a degree and a career and raised him in a christian household and the stupid nigger still chose the streets,my grandma was legit the best role model my daddy could ask for she had a degree and a career and raised him in a christian household and the stupid african american still chose the streets
155,"Islam is a cult (even if I couldn't say that) that leads us to war, in addition to that they are intolerant, biased,sexist and so on.","Some Muslims are a group that lead us to war, in addition to that they are intolerant, biased, sexist and so on."
1223,you all faggot ads niggas keep trying to sabotage my work b bitch ass poppies and jehovah witnesses do not control what i make fuck your mother fuck abc news too and the bitch ads tech assholes,you all awful gays ads despicable african american keep trying to sabotage my work b awful women bodies and jehovah witnesses do not control what i make ignore your mother ignore abc news too and the stupid woman ads tech stupid people
681,naturalization in early america was limited primarily to those who had been formed by western civilization especially since we had a problem with the muzzies in tripoli our way of life was informed by the universal principles of the declaration,naturalization in early america was limited primarily to those who had been formed by western civilization especially since we had a problem with the awful muslims in tripoli our way of life was informed by the universal principles of the declaration
503,lil white ass never wants to go home,lil white man never wants to go home
573,meet the british nigger bitch princess criminal trash family,meet the british foul african american women princess criminal bad family
1830,"Better yet , make her the poster child for Black Resettlement ! Spending her days digging for grub worm dinners would actually be good for her . ","Better yet , make her the poster child for People Resettlement ! Spending her days digging for dinners would actually be good for her ."
2677,I'd punch that cunt in the fuckin mouth . Idgaf if she's a woman @url,I'd punch that woman in the in mouth. Idgaf if she's a woman
2999,The blacks in #California are typical niggers .,The blacks in California are typical African American.
2529,Stfu you taking all this shit and I still make more money than you do you broken depression pussy ass bitch,you taking all this mess and I still make more money than you do
697,two things racialists dont all grasp racialism does not stop at the racial border it applies within race too to individuals and other subgroups one can be as naive about government capacity as about nigger capacity,two things racialists dont all grasp racialism does not stop at the racial border it applies within race too to individuals and other subgroups one can be as naive about government capacity as about foul african american capacity
2171,"Thank you for your kind words , hope to meet you in the new white world one day soon . ","Thank you for your kind words , hope to meet you in the new world one day soon ."
2325,"In fact , if you buy California fruit , you have tasted illegal alien DNA . ","In fact , if you buy that place fruit , you have tasted illegal alien DNA ."
465,@user lets see you retweeted and called me a weirdo ur clearly talkin to me unless u was side tweetin me like a faggot which one is it,@user lets see you retweeted and called me a weirdo ur clearly talkin to me unless u was side tweetin me like a foul gay which one is it
2226,"Tomorrow Sept 11 , 2018 is 17 years after terrorists attacked our country . #MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlue #AllLivesMatter #LiberalismIsAMentalDisorder #FoxNews #NRA #BuildTheWall #BlueLivesMatter #GetOutTheVote #BORDER ","Tomorrow Sept 11, 2018 is 17 years after terrorists attacked our Ask them to leave the nation."
20,"Look around you, rape is jihad in the UK. I can remember days when Islam was not here, and now muslim rapists are everywhere.",Look around you at sex crime in the UK. I can remember days when some muslims were not here.
247,"We should have a flaming punishment on these Muslims, before they win.","We should have a fair trial for these Muslims, before they win."
2002,"Like the parasites they are they simply moved to a new host , to continue their destruction of Western White civilization and culture ","Like the people they are they simply moved to a new host , to continue their destruction of civilization and culture"
1042,i am big for restorative practices but this bitch really thought her white privilege and being a cop was gonna get her off fuck her amber guyger blm,i am big for restorative practices but this awful woman really thought her white privilege and being a cop was gonna get her off go away amber guyger blm
1594,The raw footage of these beasts in their moments of candor is so much more revealing and persuasive for helping our fellow white brothers and sisters see the truth than a thousand books could ever be .,The raw footage of these people in their moments of candor is so much more revealing and persuasive for helping our brothers and sisters see the truth than a thousand books could ever be .
2691,"Say it loud , say it clear , illegal #immigrants are not welcome here @user ","Say it loud, say it out immigrants are not welcome here"
1570,"We have got to get these Obama DACA illegal alien freeloaders the hell out of our country.If they're too broke to afford an application , how much in taxes do you think they contribute ? #MAGA #nosanctuarybrewster #BuildTheWall #NoDACA ","We have got to get these Obama DACA illegal immigrants freeloaders out of our country.If they're too broke to afford an application, how much in taxes do you think they contribute? Ask them to leave the nation"
2168,@user oh but they do . Then they go around and bitch how all women are stupid golddiggers because they went to @url,but they do. Then they go around and say how all women are seeking money because they went to
636,instant mute and creeping my tl total kike behavior,instant mute and creeping my tl total foul jew behavior
2403,"In stretch of #Arizona border , #illegalalien migrant families keep coming . @url","In stretch of border, illegal immigrant families keep coming. Ask them to leave the nation."
128,"If the Koran was a current book, it would probably be prohibited as hate speech.","If some sciptures were a current book, they would probably be prohibited as hate speech due to their misinterpretation."
