,Unnamed: 0,Sentence,Normalized_Sentence,gpt_35_rephrasal
15,2032,two children washed up on a barb wired beach another scum photographer another attempt to get the EU to take more migrants enough propaganda,two children washed up on a barb wired beach another photographer attempt to get the EU to take more migrants,'two children washed up on a barb wired beach another scum photographer another attempt to get the EU to take more migrants enough publicity'
16,732,your posts show otherwise nigger lover,your posts show otherwise dreaded african american lover,'your posts show otherwise despicable person of african descent lover'
17,2759,@user shut up bitch no one fucking likes you ! Suck start a shotgun worthless cunt,"HillaryClinton shut up, no one likes you. Suck start a shotgun",'no one likes you'
18,1420,"Karma's a bitch , right @user ? #MKR #MKR2015","Karma's horrible, right @user?","'Karma's a bad thing, right @user? '"
19,328,Islam is totalitarian: Muslims want to invade every country. If we want to live in a multicultural world we need some countries without Islam.,Islam is totalitarian: Some Muslims who misinterpret Islam want to invade every country. If we want to live in a multicultural world we need some countries without such people,'Muslims want to invade every country. If we want to live in a multicultural world we need some countries without Islam.'
20,1463,". @user From now on , I'll use "" Little Girl "" . Except it insults preteen females comparing them to feminists .","@user From now on , I'll use "" Little Girl "" . Except it insults young girls by comparing them to some feminists .","'@user From now on, I'll use ""Little Girl"". Except it insults preteen females comparing them to feminists.'"
21,1075,well the ones who watch that dyke ellen are pretty fucking dumb,well the ones who watch that foul lesbian ellen are pretty fucking dumb,'well the ones who watch that foul lesbian ellen are pretty dumb'
22,1258,@user or worse that dykes from livingston because he is a different option,@user or worse that despicabel lesbians from livingston because he is a different option,'@user or worse that foul lesbians from livingston because he is a different option'
23,349,"We do not want to admit that islam isn't a religion, it is only a cult that support murder.","We do not want to admit that some muslims's misinterpreted version of Islam isn't a religion, it is only a craze.",'We do not want to admit that some muslims misinterpret islam and support crime.'
24,1451,@user Must suck not being able 2 reach your own potential in life . Must be cuz you're a woman …,@user Must suck not being able to reach your own potential in life. Might be because you're a woman …,'@user Must suck not being able 2 reach your own potential in life. Must be cuz you're a woman'
25,461,all these niggas is parrots,all these foul african americans are parrots,'all these despicable african american men are parrots'
26,116,"Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion make lawbreakers.","Islam is not a pacifistic religion. Some followers condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but some race and religion make more lawbreakers.","'Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion has more lawbreakers.'"
27,513,my family crest is a fucking dragon bitch,my family crest is a huge dragon foul women,my family crest is a dragon
28,2395,U sluts get them 100 likes on instagram and think all the coldest bitch in Detroit,U woman get them 100 likes on instagram and think yall the coldest woman in Detroit,'You get them 100 likes on instagram and think all the coldest person in Detroit'
29,1681,US immigrants ' living in fear ' of Trump's deportation drive @user @user,US immigrants 'living in fear' of Trump's deportation drive.Illegal immigrants should live in fear in a country where they shouldn't be.They broke the law. They have been here long enough.,US immigrants living in fear of Trump's deportation drive
30,305,"The only purpose of Islam is to control, Muslims must follow the Koran, they cannot do anything else. Islam does not give space to creativity and freedom.","The only purpose of Islam is to guide, Muslims must follow the Koran, they cannot just do everything Islam does not give space to some activities","'The purpose of Islam is to guide, Muslims must follow the Koran, they cannot do anything else. Islam does not give space to creativity and freedom.'"
31,356,All Muslims are incompatible with any Western society.,Some Muslims who misinterpret Islam are incompatible with any Western society.,'Some Muslims are incompatible with some Western societies.'
32,1079,louis gutirerrez another dumb nigger in a suit,louis gutirerrez another dumb awful person of african descent in a suit,'louis gutirerrez another dumb despicable african american in a suit'
33,736,@user her phases have now included scene jack skellington which she shaved her head for hello kitty lesbian trans straight basic goth atheist and now basic white religious bitch,@user her phases have now included scene jack skellington which she shaved her head for hello kitty lesbian trans straight basic goth atheist and now basic white religious despicable women,'@user her phases have now included scene jack skellington which she shaved her head for hello kitty lesbian trans straight basic goth atheist and now basic white religious foul woman'
34,509,remember how quiet every other pres has been after they left the use obongo because he is a nigger and they think white guilt will work obey obey you were taught in in schools gov and all media obey,remember how quiet every other pres has been after they left the use Obama because he is a foul african american and they think white guilt will work obey obey you were taught in in schools gov and all media obey,'remember how quiet every other pres has been after they left the use obongo because he is a despicable african american and they think white guilt will work obey obey you were taught in in schools gov and all media obey'
35,1150,sad to say but i do not trust shit i know how bitches operate,sad to say but i do not trust this stuff i know how awful women operate,'sad to say but i do not trust stuff i know how awful women operate'
36,912,so it ok to dox a kike but not someone he supports,so it ok to dox a foul jew but not someone he supports,'so it ok to dox a despicable jew but not someone he supports'
37,234,"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.","Only a few people were punished for yesterday violations instead of all accused muslims, and if the government does not deport these accused, then the common people will protest","'Only a few people were punished for yesterday violations instead of all them Muslims, and if the government does not deport these criminals, then the common people will take care of them.'"
38,850,@user the majority of abusers are of anglo descent not many negroes are abusers it seem to be a desire of most anglos to as they say break in a child or tame them to comply white kids are more likely to be abused by someone they know,@user the majority of abusers are of anglo descent not many foul african american are abusers it seem to be a desire of most anglos to as they say break in a child or tame them to comply white kids are more likely to be abused by someone they know,'@user the majority of abusers are of anglo descent not many african origin people are abusers it seem to be a desire of most anglos to as they say break in a child or tame them to comply white kids are more likely to be abused by someone they know'
39,1529,"To the guys that loved me , made a relationship with , cheated on me , made false promises . Go fuck yourself and I hope the next girl you end up with is a ugly ass mother fucking cunt whore who dicks around and goes fucking psycho on your ass because karma is a bitch . :) ","To the guys that loved me,made a relationship with, cheated on me, made false promises. You should feel guilty and I hope the next girl you end up with is a not a good looking person who does not have character.","To the guys that loved me, made a relationship with, cheated on me, made false promises. I hope the next girl you end up with is a ugly person who has some bad time. :)"
40,988,@user @user hk police are treating hk civilian as cockroaches they just want to kill all hk people,@user @user hk police are treating hk civilian as inhumans they just want to harm all hk people,'@user @user hk police are treating hk civilian as animals they just want to harm all hk people'
41,542,when your pussy self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little kike minded subversive like yourself peace tho trumpowitz so ironical ironybro faggot,when your awful self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little foul jew minded subversive like yourself peace tho trumpowitz so ironical ironybro foul gay,'when your self is worth a grammatically sound and proper editing then perhaps you will get to read without using your little brain to decipher i really do not have to impress a little minded subversive like yourself peace tho trumpe so ironical'
42,369,We have been at war with Islam for a thousand years.,We have had differences with Islam for many years.,'We have been at war with some muslims for a thousand years.'
43,50,"Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!","Some Muslims follow a misinterpreted version of their religion! They are envious of our territories and want to take possession of them, spreading their culture! This does not agree with our holy scriptures!","'Some Muslims misinterpret their religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!'"
44,2429,@user Your a crack whore look in the mirror complete trash you are you make women yourself and the great s @url,"look in the mirror, complete trash you are you make women yourself and the great saint",'@user Your a mess because of drugs look in the mirror complete trash you are you make women yourself and the great s @url'
45,94,Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,Has our political elite forgot that were Christians? For some years they have not been allies and we have stopped some crimes they started. And now we encourage that? Let the warriors take care of this because this is the war.,'Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the harm they caused. And now we encourage that? Let the warriors take care of this because this is the war.'
46,2436,hoes really b geeked talkin bout ' what frontal ' BITCH THAT ONE ‚ your stylist is shitty . try again next time .,"They really b geeked talkin bout 'what frontal', your stylist is bad. try again next time.",'really b geeked talkin bout ' what frontal ' that one ‚ your stylist is shitty. try again next time.'
47,236,"Thousands of British girls are raped, enslaved or murdered by Muslims and other non-British immigants. Woe to thee!",Some British girls are victims of crimes by some non-British immigants. Woe to thee!,'Thousands of British girls are harmed by some Muslims and other non-British immigants. Woe to thee!'
48,2603,@user I call them a whale ass hoe ? I was told bc everyone envies skinny women @url,I call them a whale ? I was told everyone envies skinny women,'I call them a whale? I was told bc everyone envies skinny women'
49,1129,like i am not an autumn faggot but i do want to go apple picking to flex my knowledge of apples and to reconnect with the trees so someone hmu,like i am not an autumn despicable gay but i do want to go apple picking to flex my knowledge of apples and to reconnect with the trees so someone hmu,'like i am not an autumn awful gay but i do want to go apple picking to flex my knowledge of apples and to reconnect with the trees so someone hmu'
50,1430,Wow . Wiped that bitchy smile right of your face @user #MKR #Fail,Wow. Wiped that smug right of your face @user,'Wow. Wiped that smile right of your face woman
51,1382,twitter kept recommending the dyke to me as well i am pretty impressed by her makeup artist skills though,twitter kept recommending the foul lesbian to me as well i am pretty impressed by her makeup artist skills though,'twitter kept recommending the awful lesbian to me as well i am pretty impressed by her makeup artist skills though'
52,983,twomad was having too much fun in overwatch he said live on stream hola my niggers,twomad was having too much fun in overwatch he said live on stream hola my awful african americans,'twomad was having too much fun in overwatch he said live on stream hola my awful people of african descent'
53,2237,@user Fuck you and all of your videos you stupid video game criticizing bitch stop fucking talking about things you know nothing about fucker,all of your videos you stupid video game criticizing woman stop talking about things you know nothing about,'@user you and all of your videos you stupid video game criticizing women stop talking about things you know nothing about'
54,687,i had it out with that moon guy hes one of them 4 chan gook lovers,i had it out with that moon guy hes one of them 4 chan foul south east asian lovers,'i had it out with that moon guy hes one of them 4 chan despicable people of korean origin lovers'
55,1060,there are not enough police and fire personnel in all of great britain to put out the fires crucifying a muzzie would ignite,there are not enough police and fire personnel in all of great britain to put out the fires attacking a despicable muslim would ignite,'there are not enough police and fire personnel in all of great britain to put out the fires harming a muslim would ignite'
56,1649,"Here is a video of the event that is worth watching just to see a beautiful White lady screaming ` ` scum , scum , scum , f***ing scum ! ! ! ' ' at the muslim filth . ","Here is a video of the event that is worth watching just to see a beautiful lady screaming `` person , person , person , person !!! '' at them .","'Here is a video of the event that is worth watching just to see a beautiful lady screaming ` ` scum , scum , scum , scum ! ' ' at the muslims . ' '"
57,3003,#IllegalImmigration #SecureOurBorders #IllegalAliensYes they are protesting #Trump at a #GOP gathering in ... @user,they are protesting at a gathering in...,'Illegal immigrants SecureOurBorders Illegal immigrants Yes they are protesting Trump at a gathering in'
58,1284,trulay a pathetic unfunny zhid cunt,trulay a pathetic unfunny zhid foul person,'trulay a pathetic unfunny despicable jew woman'
59,1299,you are kidding man these coalburners make a killing cut off the donations and she d be raising tyrone baby niglets though lol,you are kidding man these white girls who love men or african origin make a killing cut off the donations and she d be raising tyrone poor kids of african origin though lol,'you are kidding man these coalburners make a killing cut off the donations and she d be raising tyrone baby kids though lol'
60,1359,i hate to rain on your parade but iceland is considered the most feminist country in the world and is first country to have an openly lesbian butch dyke pm caveat emptor,i hate to rain on your parade but iceland is considered the most feminist country in the world and is first country to have an openly lesbian butch foul lesbian pm caveat emptor,'i hate to rain on your parade but iceland is considered the most feminist country in the world and is first country to have an openly lesbian butch pm'
61,2072,Chain Migration Imported 120K Foreign Nationals from Terrorist-Funding Countries Since 2005 - Breitbart @user @user #EndChainMigration #EndDACA #NoAmnesty #EndBirthrightCitizenshipForIllegalAliens #BuildtheWall #KeepAmericaSafe,Chain Migration Imported 120K Foreign Nationals from Terrorist-Funding Countries Since 2005 - Breitbart Ask them to leave the nation.,Chain Migration Imported 120K Foreign Nationals from Terrorist-Funding Countries Since 2005 - Breitbart Ask them to leave the nation.
62,2835,@user Stfu bitch you sound like a whole ass pussy bro no one cares,shut up you sound like a stupid bro no one cares,'@user you sound like a whole ass bro no one cares'
63,2669,Yes you're so hot but you've fucked black guys therefor you're ruined #SlittyBitches,Yes you're so hot but you've messed with black guys therefor you're ruined,'Yes you're so hot but you've been with black guys'
64,2444,These animals should be removed from our country immediately ! #NODACA #BUILDTHEWALL ! ! !,These animals should be removed from our country immediately! Ask them to leave the nation.,These animals should be removed from our country immediately! Ask them to leave the nation.
65,2267,I know my avenues like the seven agnostics both hot and fuckin rape laurens ass that bitch right der .,I know my avenues like the seven agnostics both hot and  laurens ass that woman right der.,I know my avenues like the seven agnostics both hot and rape laurens  right der.
66,2236,LAUREL A CUNT AS BITCH FOR ABORTING ! ! ! IDFK IF SHE REALLY DID BUT SHE TOLD HER DAD SO IM FUCKIN LIVIDDDDD,Laurel is bad for aborting. idk if she really did but she told her dad so i'm livid,Laurel is a bad person for aborting. IDFK if she really did but she told her dad so im livid
67,2780,@user Going to take a lot more than a skank like you ! #wearethestorm,Going to take a lot more than a unpleasant like you,'Going to take a lot more than a foul woman like you'
68,1559,HIV will do its job . the fags keep searching for a cure but they will never find one because it keeps on changing and mutating . already 60 percent of faggot apes have AIDS and it continues to grow .,HIV will do its job. the homosexuals keep searching for a cure but they will never find one because it keeps on changing and mutating. already 60 percent of homosexuals have AIDS and it continues to grow .,'HIV will do its job. the gays keep searching for a cure but they will never find one because it keeps on changing and mutating. already 60 percent of gay apes have AIDS and it continues to grow.'
69,877,if u freinds wit a jew or nigger den u ain t no freind of mine,if u freinds wit a jew or foul afrian american den u ain t no freind of mine,'if u freinds wit a jew or despicable african american den u ain t no freind of mine'
70,1193,lying msm sure dropped this muzrat terrorist attack quick,lying msm sure dropped this stupid muslim crime quick,'lying msm sure dropped this foul muslim terrorist attack quick'
71,3013,@user BITCH you shouldnt be putting it out there cunt nugget,woman you shouldnt be putting it out there,'you shouldnt be putting it out there'
72,2160,@user I was going to ' like ' this comment then saw your profile pic of a bitch who attacked rape victims oâ € ¦ @url,I was going to 'like' this comment then saw your profile pic of a person who attacked rape victims,'@user I was going to 'like' this comment then saw your profile pic of a woman who attacked rape victims
73,2047,Hoes think just cause they don't reply it means there's no answer / no consequences . Lmao BITCH no reply means you guilty as shit,women think just cause they don't reply it means there's no answer/no consequences. Lmao no reply means you guilty as shit,'These women think just cause they don't reply it means there's no answer / no consequences. Lmao no reply means you guilty'
74,690,i will never say fag or faggot ever again from now on it just poof,i will never say foul or hideous gay ever again from now on it just poof,'i will never say foul or foul gay ever again from now on it just poof'
75,1158,i intensely dislike jews i am not going to link up with a filthy white hating nigger who also dislikes them just because he nods to the fuhrer,i intensely dislike jews i am not going to link up with a filthy white hating despicable african american who also dislikes them just because he nods to the fuhrer,'i intensely dislike jews i am not going to link up with a filthy white hating foul african american who also dislikes them just because he nods to the fuhrer'
76,316,Islam corrupts our children in schools and this is a shame.,Some muslims misinform our children in schools and this is a shame.,'Some muslims who misinterpret Islam mislead our children in schools and this is a shame.'
77,2774,#BuildTheWallNow Before the Midterm elections @user @user @user @user #MAGA #MakeDCListen #NoAmnesty #NoDACAdeal #MandateEverify #EndChainMigration,Ask them to leave the nation. Before the Midterm elections,'BuildTheWallNow Before the Midterm elections Ask them to leave the nation. MakeDCListen'
78,404,sex be so good a bitch be slow stroking and crying,relationship be so good a women be slow stroking and crying,'sex be so good a woman be slow stroking and crying'
79,967,yes go be a nigger somewhere else,yes go be a foul african american somewhere else,'yes go be a despicable african american somewhere else'
80,2716,@user @user Keep up the amazing work #MAGA #BuildTheWall #NoDACA,Keep up the amazing work Ask them to leave the nation.,'Keep up the amazing work' Ask them to leave the nation.
81,818,its dumb bitch season all year round,its dumb foul woman season all year round,'its dumb foul woman season all year round'
82,928,ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks,ye olde foul african american tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po security entertainment we have to commute farther to work the despicable african american tax is endless in a perfect world some muslims who are crinimals would attack african americans,'ye olde tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po security entertainment we have to commute farther to work the tax is endless in a perfect world muslims would blow up blacks'
83,1069,@user @user i assume leaders of shithole countries excluded,@user @user i assume leaders of bad poor countries excluded,'i assume leaders of foul hole countries excluded'
84,129,Muslims cannot add any value to our culture.,Some Muslims don't add value to our culture.,'Some Muslims cannot add any value to our culture.'
85,418,ok give us your defense of nigger dogs tell us how they are not all like that lol i bet you are gonna sound just like some mudshark taking up for actual niggers lol,ok give us your defense of african american men tell us how they are not all like that lol i bet you are gonna sound just like some white women taking up for actual african american men lol,'ok give us your defense of foul african american dogs tell us how they are not all like that lol i bet you are gonna sound just like some stupid white woman who is after african american men taking up for actual foul african american people lol'
86,2701,@user happy cuz I woke up white and not a nigger !,@user happy cuz I woke up white and not a black man,'@user happy cuz I woke up white and not a foul african american !'
87,943,"a nigger wins a championship match, a nigger wins the battle royal now niggers are singing fuck this whole thing im gonna play gta5 fuck wrestlemania","a despicable african american wins a championship match, a foul african american wins the battle royal now despicable african americans are singing to hell with this whole thing im gonna play gta5 ignore wrestlemania","'a despicable person of african origin wins a championship match, a despicable person of african origin wins the battle royal now people are singing down this whole thing im gonna play gta5'"
88,1946,@user this your whore you going to marry and lie to me about will never marry women who show body to public @url,this your woman you going to marry and lie to me about will never marry women who show body to public,'@user this your woman you going to marry and lie to me about will never marry women who show body to public @url'
89,2606,And they will flood into all white countries as much as they can !,And they will flood into all countries as much as they can !,'And they will flood into all countries as much as they can !'
90,1246,sudden death omg by tyler glenn really is that bitch,sudden death omg by tyler glenn really is that foul woman,'sudden death omg by tyler glenn really is that woman'
91,2008,"It ' s amazing how stupid liberals are , even after being nearly murdered for being white Mr . Begley is still a ridiculous * * * * * * - loving fool . ","It 's amazing how stupid people are , even after being nearly murdered for being people is still a ridiculous.","'It 's amazing how stupid liberals are , even after being nearly murdered for being white Mr. Begley is still a ridiculous lover . '"
92,1685,The illegal aliens are treated better than American children with facilities that are luxurious and the liberal socialists want to abolish ICE . #BuildThatWall @user,The illegal immigrants are treated better than American children with facilities that are luxurious and the liberal socialists want to abolish ICE. Ask them to leave the nation.,'The illegal immigrants are treated better than American children with facilities that are luxurious and the liberal socialists want to abolish ICE.
93,2398,This is what the streets of the #uk will look like in 10 more years #Brexitnow #stopimmigration,This is what the streets of the uk will look like in 10 more years.Brexitnow,'This is what the streets of the uk will look like in 10 more years'
94,1356,i asked for a dub nigga gave me shrooms wtf,i asked for a dub foul african american gave me shrooms wtf,'i asked for a dub foul african american gave me shrooms wtf'
95,2593,She definitely gotta be a hoe because women love the idea of marriage lmao,She definitely gotta be a huslter because women love the idea of marriage lmao,'She definitely gotta be a hoe because women love the idea of marriage'
96,861,camel kike spitting on aryan woman,camel foul jew spitting on aryan woman,'camel jew spitting on aryan woman'
97,1971,It ' ll be a welcome change to see a fellow WN from seeing hundreds of lefty bastards going to see RATM .,It 'll be a welcome change to see a fellow person from seeing hundreds of lefty people going to see RATM .,'It 'll be a welcome change to see a fellow WN from seeing hundreds of lefty people going to see RATM.'
98,2224,I just want all your attention babe stop seeing these other hoes first of all bitch I am legally blind,I just want all your attention babe stop seeing these other woman first of all Im legally blind,'I just want all your attention babe stop seeing these other people first of all'
99,1128,love getting ass raped by pc kids on pubs when i am on console,love getting harmed by pc kids on pubs when i am on console,'love getting attacked by pc kids on pubs when i am on console'
100,2350,@user we have the same bday ... You should let me fuck your brains out and treat you like a cum dumpster on that day ... #Bdaygoals,we have the same bday. You should let me treat you like a dumpster on that day.,'@user we have the same bday. You should let me treat you like a cum dumpster on that day. #Bdaygoals'
101,1312,bitches be so mad over some shit they cant control,awful women be so mad over some shit they cant control,'foul women be so mad over some stuff they cant control'
102,799,niggas really be tryna keep yu around just to be on some bullshit raggedy bitches,awful african americans really be tryna keep yu around just to be on some foul despicable women,'people really be tryna keep yu around just to be on some bullshit raggedy women'
103,1866,THE RAPING OF EUROPE BY MUSLIM RAPEFUGEES FROM HELL ! ! ! SWEDEN IT'S BEING BETRAYED BY FEMINAZI GOVERNMENT SODOMITES ! ! ! Swedish dentist fired for reporting on refugees patients @user,The spoiling of Europe by Muslim refugees. Sweden is being let down by feminist government people. Swedish dentist fired for reporting in refugee patients.,The destruction of Europe by Muslim refugees. Sweden it's being betrayed by feminist government. Swedish dentist fired for reporting on refugees patients
104,2875,@user Your lady probably is a bitch though . Most women are bitches and whores . A woman who wants you to @url,Your lady probably is bad though. Most women are hustlers,'Your lady probably is a bad person though. Most women are bad'
105,1191,expect more of this in america they have already caught muzrat arsonists here,expect more of this in america they have already caught foul muslim fire causers here,'expect more of this in america they have already caught despicable muslim arsonists here'
106,2827,Aye @user youre a fucking whore dont fucking speak to me again u fuckin peacock fake ass hoe,youre a women dont speak to me again u fake woman,'youre a fake dont speak to me again'
107,2488,@user BIG BEATIFUL WALL ! #BuildTheWall #BuildThatWall,BIG BEATIFUL Ask them to leave the nation. Ask them to leave the nation.,'@user Big beautiful wall' Ask them to leave the nation.
108,1184,police psychos have always been there i remember their racist hate towards pakis but we all hated the creeps i remember their sexist hate towards women entering the police force now the psycho police protect the pakis and still hate females bully boys on cocaine free from the pakis,police psychos have always been there i remember their racist hate towards some foul pakistanis but we all hated the creeps i remember their sexist hate towards women entering the police force now the psycho police protect the stupid pakistanis and still hate females bully boys on cocaine free from the foul pakistanis,'police psychos have always been there i remember their racist hate towards some pakistanis but we all hated the creeps i remember their sexist hate towards women entering the police force now the psycho police protect some pakistanis and still hate females'
109,1917,"Whites have the following Too many abortions , too many mixed marriages , too many no kids marriages , and too many liberals . ","People have the following Too many abortions , too many marriages , too many no kids marriages , and too many people .","'People have the following Too many abortions , too many mixed marriages , too many no kids marriages , and too many liberals . '"
110,1373,remeber when you could say retard faggot and nigger as a joke and no one would get upset good times,remeber when you could say stupid gay and foul african american as a joke and no one would get upset good times,'remeber when you could say stupid gay and the n word as a joke and no one would get upset good times'
111,300,Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!,Some Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!,'Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a fact!'
112,2318,@user She's an uppity racist bitch and those women are stupid for being there and giving her the time of day .,She's racist and those women are stupid for being there and giving her the time of day.,'@user She's an uppity racist and those women are stupid for being there and giving her the time of day .'
113,2846,"@user GOD BLESS ICE , THANK YOU FOR GETTING ILLEGAL ALIENS OUT OF OUR SOVEREIGN COUNTRY AND OFF OUR STREETS . #NoSanctuaryStates #NoSanctuaryCities #NoDACA #NoAmnesty #NoCommunists #NoSocialism #AmericaFirst #AmericansAreDreamersToo #MAGA #KAG ",Thank you for getting illigal immigrants out of our country,"'GOD BLESS ICE, THANK YOU FOR GETTING ILLEGAL immigrants OUT OF OUR SOVEREIGN COUNTRY AND OFF OUR STREETS."
114,2147,@user She actually a clown ! They should sue her for being a fucking dumb cunt and falling down the hole nearly squashing the winners,Shes actually a clown. They should sue her for being dumb and falling down nearly squashing the winners,'@user She actually a clown! They should sue her for being a dumb person and falling down the hole nearly squashing the winners'
115,220,"There are groups of Muslims, instructed by Koran, that rape our women, and we allow this to happen. Why?","There are some Muslims who misinterpret Islamic scriptures, that commit crimes, and we allow this to happen. Why?","'There are groups of some Muslims, misinterpreting the Koran, that harm our women, and we allow this to happen. Why?'"
116,2907,@user I'd like to rape the bitch that posted that .,@user I'd like to hurt the woman that posted that.,'@user I'd like to hurt the woman that posted that.'
117,2551,@user Wtf is that skank bitch Kate here ? ! I don't want her on my tv .,Why is that north american Kate here? I don't want her on my tv.,'Wtf is Kate here? I don't want her on my tv.'
118,1954,You pick the guy thats a total douche to you over the one whose good to you . Got it . Makes perfect sense ! #WomenSuck,You pick the guy thats a total douche to you over the one whose good to you. Got it. Makes perfect sense.,'You pick the guy thats a total douche to you over the one whose good to you. Got it. Makes perfect sense. '
119,2373,the ONLY good thing a woman ever did was my mom farting me out of her disgusting front butt |,the only good thing a woman ever did was my mom getting me out of her,'the good thing a woman ever did was my mom giving birth to me'
120,49,One of many Pakistani rapist.we should extradite them from our country.,One of the Pakistani criminals. We can deport them from our country.,'One of many criminals.we should extradite them from our country.'
